"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass"
"6LDU",111.447853299894,NA,21.0949983566855,421.712247888895,111.447853299894,5.28314112262415,5.28314112262415,5.28314112262415,5.28314112262415,0.411064068557437,0.109288920628443,NA,0.622245460110182,0.0145633544174658,0.109288920628443,0.175636348731401,0.175636348731401,0.175636348731401,0.175636348731401,0.273809153086818,NA,0.528354278905985,0.147798498629994,0.273809153086818,0.51823021790184,0.51823021790184,0.51823021790184,0.51823021790184,"LY","growing","restricted",0.05562527,2.19745222929936,32,NA,"low","low","high",0.0556252700006171,0.267647665953286,0,0.647133932365244,0.0295931316808527
"6ND",28.4155576684344,47.8689096441585,30.7031325699884,51.9269272737,28.4155576684344,0.361649727659976,0.925493762034235,0.970885637726976,2.48458254670597,0.599144867442707,0.275662786463534,0.0305404484747395,0.212908038011112,0.079839780108771,0.0305404484747395,1.13232491375359,1.29475048964167,1.25777423946347,1.43819480841908,0.425107819812132,0.426826711437925,0.46351536033109,0.352226667884465,0.425107819812132,0.477465721649532,0.917138580927451,0.956862040178955,1.83798554300664,"LY","growing",NA,0.081590113,30,40,"high","low","high","high",0.0815901125430434,0.469847319830979,0.107080733317169,0.25345808938465,0.0880237449241583
"6RB",76.3795461306288,NA,15.7533613944404,43.3021456962063,76.3795461306288,4.84846022497677,4.84846022497677,4.84846022497677,4.84846022497677,0.525801426992262,0.144683951361672,NA,0.671251633001708,0.265350216058688,0.144683951361672,0.215543537249471,0.215543537249471,0.215543537249471,0.215543537249471,0.594770323081153,NA,0.777748882490135,0.599240641694505,0.594770323081153,0.764733111768498,0.764733111768498,0.764733111768498,0.764733111768498,"LY","growing","Infiltrating",0.155480427,2.8,18,NA,"high","low","high",0.155480427254777,0.177143939704656,0,0.483032657373934,0.184342975666633
"6RC",50.2145283791539,66.4967414431172,18.1618832812065,34.8130814419572,50.2145283791539,0.593141319536774,2.76483047499346,1.37861051017922,6.42616561373023,0.383061827188721,0.196602203804262,0.0674351401987869,0.542485154488584,0.241199072750945,0.0674351401987869,0.322340813245172,0.362410293033004,0.432904670172334,0.486718100612291,0.549639955590801,0.565870194355871,0.715918197890898,0.599989558742801,0.549639955590801,0.428807093991053,0.767741282747171,0.870276370650667,1.55815308680933,"LY","growing","restricted",0.078801021,8.21428571428571,40,NA,"high","low","high",0.0788010213529223,0.247887779298085,0.119228740414807,0.391436209983915,0.162646248950271
"7NB",80.1757958702196,NA,23.0233995983015,30.7152673543528,80.1757958702196,3.4823613049801,3.4823613049801,3.4823613049801,3.4823613049801,0.388782565748858,0.0728176318063958,NA,0.384677120632177,0.306087171255711,0.0728176318063958,0.189295458192906,0.189295458192906,0.189295458192906,0.189295458192906,0.187730913011403,NA,0.330167972610517,0.30859617855788,0.187730913011403,0.568592136684499,0.568592136684499,0.568592136684499,0.568592136684499,"LY","growing","restricted",0.020673411,2.88785046728972,31,NA,"low","low","low",0.0206734110298608,0.26649275033072,0,0.346743567637522,0.366090271001897
"7NC",89.3439919916032,NA,18.5242660198185,73.4872616229125,89.3439919916032,4.82307865240205,4.82307865240205,4.82307865240205,4.82307865240205,0.552614212719422,0.0531232912872146,NA,0.523379904594905,0.0517751758206535,0.0531232912872146,0.101500441306267,0.101500441306267,0.101500441306267,0.101500441306267,0.210333770255023,NA,0.328173515505521,0.309327302706513,0.210333770255023,0.640922439859363,0.640922439859363,0.640922439859363,0.640922439859363,"LY","growing","restricted",0.047945651,3.44444444444444,40,NA,"low","low","high",0.0479456512895615,0.140550899935816,0,0.735945452408718,0.0755579963659046
"7RA",33.3595777381586,39.1764931259774,17.0139243356616,25.1219651776875,33.3595777381586,0.593688020932271,1.96072211678032,1.29089752560846,4.26333569099626,0.295153460051016,0.225129597630215,0.18667544364903,0.499218300008228,0.190844510271812,0.18667544364903,0.328228096133084,0.450964232734466,0.600391890270725,0.824899730784023,0.42699717362053,0.445068676961444,0.488045358283075,0.460543284820433,0.42699717362053,0.457604491511734,0.874912887446957,0.934575858515999,1.78685410235202,"LY","stable","restricted",0.03193098,1.11538461538462,8,"high","low","low","low",0.0319309795486363,0.232309502529544,0.193193417623739,0.338371256425673,0.204194843872407
"7RB",34.3973736056909,14.9960405514937,27.3522464773458,37.0914136017499,14.9960405514937,0.812249467900934,1.2575703291567,1.16636156082411,1.80582659629417,0.0670603121045972,0.191733445803458,0.67874314635175,0.115563053563897,0.10970054829186,0.191733445803458,0.241384803270854,1.65912408759124,1.09589550257527,7.53248175182482,0.711068945782199,0.754267564444545,0.724383890333416,0.698388125565078,0.711068945782199,0.480890167513463,0.981618938895662,0.990995210867177,2.02287285758424,"LY","growing",NA,0.016946911,3.96153846153846,20,"high","high","low","low",0.0169469113521434,0.203565927487804,0.525612994299805,0.119487518539035,0.134386648321212
"7RD",44.137697243663,NA,14.334286608678,38.1089497207397,44.137697243663,3.07916943818759,3.07916943818759,3.07916943818759,3.07916943818759,0.301384137470017,0.238645747316268,NA,0.684243639652393,0.174590067240769,0.238645747316268,0.348773059019597,0.348773059019597,0.348773059019597,0.348773059019597,0.401927043651733,NA,0.511280396932841,0.471617885817702,0.401927043651733,0.786118627005619,0.786118627005619,0.786118627005619,0.786118627005619,"LY","stable","Infiltrating",0.032169008,0.996699669966997,20,NA,"low","high","low",0.0321690077775606,0.255333197983413,0,0.560654157551102,0.151843636687924
"8LD",16.3662319888764,350.732082707665,292.950791222238,22.7293734162238,16.3662319888764,0.0254259242427175,0.0558668297859645,0.570309277385743,1.25310572866162,0.345674300254453,0.65089058524173,0.00089058524173028,0.00356234096692112,0.387150127226463,0.00089058524173028,146.171428571428,182.714285714286,146.371428571428,182.964285714286,0.753281244144212,0.22767011421168,0.245907976132472,0.670401108787399,0.22767011421168,1.59061675255457,3.06326478706171,2.07136136226874,3.98909939313009,"LY","stable","Infiltrating",0.056233634,0.241803278688525,6,"high","high","high","high",0.0562336342953625,0.593615407729621,0.00185299125731538,0.00363443845064175,0.34466352826706
"8RCL",15.1296644410754,NA,36.8731415232591,33.1293133462461,15.1296644410754,0.410316664543806,0.410316664543806,0.410316664543806,0.410316664543806,0.105135015493581,0.618636564851704,NA,0.366976538291279,0.267374944665781,0.618636564851704,1.68576598311218,1.68576598311218,1.68576598311218,1.68576598311218,0.753638518070259,NA,0.663229959798752,0.53479902598915,0.753638518070259,1.13631555229945,1.13631555229945,1.13631555229945,1.13631555229945,"LY","growing","restricted",0.017669074,12,12,"high","high","high","low",0.0176690744267719,0.553603622981529,0,0.248645879366917,0.180081423224782
"8RCU",50.0010143574618,NA,24.5631667570772,37.0732105268674,50.0010143574618,2.03560944938239,2.03560944938239,2.03560944938239,2.03560944938239,0.27468062476846,0.234742288985289,NA,0.469735536992555,0.28898528902114,0.234742288985289,0.49973287200753,0.49973287200753,0.49973287200753,0.49973287200753,0.467663981391185,NA,0.458392219880767,0.54197766559555,0.467663981391185,1.02022669911987,1.02022669911987,1.02022669911987,1.02022669911987,"LY","growing","restricted",0.028766801,5.51428571428571,27,NA,"high","high","low",0.0287668011746126,0.257857507750422,0,0.507401833149184,0.205973857925782
