"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Emp3",707.435228508942,3.09106207353535,0.44610742294604,6.92896355125038,4.23935002160462e-12,2.1004435222937e-10,0
"Rab3il1",109.125896893982,3.08555231157795,0.499286289679657,6.17992597705347,6.4131664569859e-10,1.97856102465732e-08,0
"Fkbp9",1481.63855984879,3.08328882201181,0.38588501926157,7.99017496950774,1.34747373398366e-15,1.30923697932451e-13,0
"Sema3b",1039.15610934453,3.07547615593437,0.328360647435554,9.36615328284117,7.52242172584901e-21,2.29710196497712e-18,0
"Adora2b",130.625137568999,3.06096292683189,0.458240126573666,6.67982297778938,2.39231047400725e-11,1.03756932239335e-09,0
"Upk1b",281.444909727091,3.04950567009899,0.325278054360295,9.37507350779094,6.91275841666471e-21,2.15490842059488e-18,0
"Cav1",2220.89009942268,3.03838889151059,0.313845080478199,9.68117418594251,3.62528117654084e-22,1.42750216433107e-19,0
"Rftn1",449.503247659761,3.03421804349949,0.513465308246939,5.90929512620597,3.43574682595576e-09,8.92518745777362e-08,0
"Htra1",2766.57395872689,3.03374254204756,0.44179507178695,6.86685464773708,6.56328814211112e-12,3.12759491943977e-10,0
"Fzd1",590.87304370979,3.02844284427918,0.310090920619666,9.76630608283317,1.57074872176489e-22,6.91268033052001e-20,0
"Nol3",133.341186452985,3.021752613243,0.415925647693035,7.26512690429984,3.72688216639579e-13,2.23957180143696e-11,0
"Oaf",1448.77975166979,3.01948711663624,0.437697306860503,6.89857367022495,5.25272483761056e-12,2.53537166919893e-10,0
"Cyp1b1",105.052916191582,3.01243851185697,0.642821300873915,4.68627674248126,2.78220004170514e-06,3.35185662029259e-05,0
"Jam3",644.382145280404,3.0034042068711,0.299606647996679,10.0244912018921,1.18970770118923e-23,7.73982449256278e-21,0
"Col27a1",136.465572987732,2.99873065424405,0.460494755813326,6.5119756878614,7.41687260549238e-11,2.76066330338265e-09,0
"Lix1l",167.994579903513,2.97366409254198,0.4713837057481,6.30837268297742,2.81984554052927e-10,9.376299738431e-09,0
"Zeb2",205.185038498687,2.97230760014061,0.558121145806779,5.32555991198659,1.00642535853459e-07,1.79275507616108e-06,0
"B4galt2",127.771651472381,2.96532429065645,0.403252806584518,7.35351184725095,1.93065885777805e-13,1.2505821856681e-11,0
"Scarf1",100.56576323857,2.95636287327889,0.481218030622137,6.14349979666555,8.07227756051353e-10,2.4060854409953e-08,0
"Gpx8",534.135751968821,2.92809260578897,0.32012027265743,9.14685153015102,5.86169961496672e-20,1.41465502159269e-17,0
"Cdh13",354.444533307941,2.92584656157796,0.367372539575751,7.9642494916925,1.66229567502103e-15,1.59441860162433e-13,0
"Ncam1",100.726431581854,2.92513607517158,0.577876898033122,5.06186712970817,4.15170337694645e-07,6.26861126430371e-06,0
"Col14a1",2833.36222241899,2.92033736567153,0.305648152907549,9.55457226844379,1.24095467018224e-21,4.1390402086834e-19,0
"Pecam1",183.66685495027,2.9116400285311,0.427350259414819,6.81324034415722,9.54245162301980e-12,4.44763261078407e-10,0
"Igf1",286.592911513884,2.9110710705961,0.500762801359203,5.8132733954972,6.12628838081702e-09,1.48089907984111e-07,0
"Slc7a5",1107.59233475364,2.90963228661631,0.374640582201676,7.76646317789993,8.0708027887517e-15,6.86155807545976e-13,0
"Dscam",132.576906114082,-2.9057936962293,0.666766955929975,-4.35803494817231,1.31235431464824e-05,0.000130650416567409,0
"Dse",196.79428413854,2.90560808977235,0.467683189165618,6.21277000560181,5.2058619910767e-10,1.63302542919247e-08,0
"Cacna2d1",147.703221789874,2.90289202545795,0.438824255964664,6.61515854240223,3.71153748160496e-11,1.53413633528329e-09,0
"Cybrd1",233.676008042848,2.90097780865626,0.477155619988956,6.07973098739445,1.2038434529302e-09,3.44418921342152e-08,0
"Twist1",365.978384504033,2.90053616414545,0.358844958923448,8.08297871272094,6.3203659447719e-16,6.52218176769807e-14,0
"Rgl1",202.58900328338,2.89898661553505,0.43474224162987,6.66828832796787,2.58803968935482e-11,1.11921496739353e-09,0
"Chst12",242.596992074672,2.89040014452324,0.332315744922123,8.69775263041056,3.38521484448328e-18,5.27635101229201e-16,0
"Anpep",470.968722391953,2.87875296532225,0.530919553108459,5.42220181657948,5.88693631953909e-08,1.10661090639778e-06,0
"Rgs5",300.245812115339,2.86690085085283,0.617568257492195,4.64224126818736,3.44650076809656e-06,4.04568368508297e-05,0
"Gng2",588.675388964823,2.86047130004697,0.438644956020479,6.52115397837476,6.97685155486908e-11,2.63622802564409e-09,0
"Smpd3",303.524237709485,2.84443600416664,0.471203399142949,6.03653540984692,1.57458212077473e-09,4.38742500431141e-08,0
"Gask1b",463.980119145807,2.84383569222891,0.333465185483076,8.52813371839456,1.48727567404417e-17,2.02310053733844e-15,0
"Gpm6b",742.762858649964,2.83881086033245,0.282428454410889,10.0514336144135,9.05405363562264e-24,6.15799111590098e-21,0
"Reck",549.103802112034,2.83536335569808,0.319727687375683,8.86805699866242,7.44332298822717e-19,1.39218052341054e-16,0
"Egr2",1058.21919546529,2.82638813067503,0.342940414848784,8.24163034829621,1.69879722297967e-16,1.97047308894921e-14,0
"Nt5e",421.546323099699,2.81952687744736,0.372610645949294,7.56695201304326,3.82082959583144e-14,2.81630902672049e-12,0
"Col2a1",791.407516003844,2.8179391537937,0.468431899395689,6.01568586048269,1.79126646508454e-09,4.9451513131107e-08,0
"Septin5",199.148202892697,2.80995316123514,0.448370754498188,6.26703042748631,3.67998268167003e-10,1.19443776281624e-08,0
"Bicc1",174.492724444994,2.80607145251909,0.422271611808335,6.64518138101298,3.02843901498393e-11,1.28007155314137e-09,0
"Lrp1",3018.19502784015,2.79715191617111,0.373619274762552,7.48663707981555,7.06607388668333e-14,4.98873701767858e-12,0
"Plod2",160.386387662013,2.78920953399879,0.422875444793859,6.59581815009017,4.22917055790901e-11,1.72428008332405e-09,0
"Cspg4",127.039511058282,2.78397896198042,0.630761773785526,4.4136773623302,1.01629383701556e-05,0.000104299071901673,0
"Susd2",190.334921440156,2.78039297524874,0.503466592058043,5.52249745883476,3.34214634409736e-08,6.70355707060709e-07,0
"LOC310926",3340.91520998937,2.77717724170787,0.438629560072859,6.33148673620301,2.42810046785011e-10,8.21983423086903e-09,0
"Tpst1",378.82379922803,2.7731130893173,0.429476013141961,6.45696850222148,1.06821119375122e-10,3.84222213752393e-09,0
"Osr1",416.264807303856,2.76407515188434,0.311868617925877,8.86294738555992,7.79263619288986e-19,1.43952117721248e-16,0
"Il34",331.769454905237,2.75596350125245,0.355958824309743,7.74236600707024,9.75835920395408e-15,8.07278452287569e-13,0
"Cercam",466.235487097064,2.75572934888804,0.372095111877578,7.40598105409859,1.30184420163188e-13,8.69620303081151e-12,0
"Adamts12",386.13008992247,2.72515931785062,0.555748041520812,4.90358780283452,9.41018508155165e-07,1.29178531536933e-05,0
"Cyp2s1",197.143964967826,2.71216421224871,0.563321807531015,4.81459119102075,1.47501536115207e-06,1.92588611247106e-05,0
"Hbb",1321.45629610481,2.71132622689844,0.746438303100952,3.63235141556201,0.000280850294801689,0.00183830400748804,0
"Crispld2",1362.06260365041,2.70860044770606,0.291050650117297,9.30628550946187,1.3238111332801e-20,3.66818259023522e-18,0
"Eng",630.61885790642,2.70689005891742,0.339172407667714,7.98086754029045,1.45308337454697e-15,1.4027410666675e-13,0
"Selp",101.468332933587,2.67882946385047,0.646042852266495,4.14651977721355,3.37567034141103e-05,0.000296943887822065,0
"Ecrg4",118.927641151368,2.66618402240817,0.424187858672097,6.28538504320833,3.27042091758446e-10,1.07726307276261e-08,0
"Septin4",429.658577494698,2.64572224482747,0.402978850773206,6.56541215438739,5.18891364992265e-11,2.05098434385467e-09,0
"Tgfbr3",342.37644756212,2.64350580854826,0.269268923589152,9.8173445836687,9.48079802901147e-23,5.06647074671781e-20,0
"Adamts4",772.967371090916,2.64282688745219,0.447359944082093,5.9076073359112,3.47112166088937e-09,8.98588121312935e-08,0
