"","Var1","Var2","value","treatment","growth"
"228","EpCAM: SMA","10LD",0.206384476435713,"PDL1","stable"
"229","SMA","10LD",0.406670294171786,"PDL1","stable"
"230","Unclass","10LD",0.123943354282513,"PDL1","stable"
"231","CD8","2RD",0.0742194780431157,"Vehicle","growing"
"232","EpCAM","2RD",0.265962886676766,"Vehicle","growing"
"233","EpCAM: SMA","2RD",0.122200132854801,"Vehicle","growing"
"234","SMA","2RD",0.182066035526712,"Vehicle","growing"
"235","Unclass","2RD",0.355551466898605,"Vehicle","growing"
"236","CD8","16ND",0.0753308198822148,"PDL1","stable"
"237","EpCAM","16ND",0.375935710177509,"PDL1","stable"
"238","EpCAM: SMA","16ND",0.132690974538186,"PDL1","stable"
"239","SMA","16ND",0.312897875011208,"PDL1","stable"
"240","Unclass","16ND",0.103144620390882,"PDL1","stable"
"241","CD8","6RC",0.0788010213529223,"LY","growing"
"242","EpCAM","6RC",0.247887779298085,"LY","growing"
"243","EpCAM: SMA","6RC",0.119228740414807,"LY","growing"
"244","SMA","6RC",0.391436209983915,"LY","growing"
"245","Unclass","6RC",0.162646248950271,"LY","growing"
"246","CD8","6ND",0.0815901125430434,"LY","growing"
"247","EpCAM","6ND",0.469847319830979,"LY","growing"
"248","EpCAM: SMA","6ND",0.107080733317169,"LY","growing"
"249","SMA","6ND",0.25345808938465,"LY","growing"
"250","Unclass","6ND",0.0880237449241583,"LY","growing"
"251","CD8","2RA",0.0858191749091156,"Vehicle","growing"
"252","EpCAM","2RA",0.430418479290512,"Vehicle","growing"
"253","EpCAM: SMA","2RA",0.00169078930906413,"Vehicle","growing"
"254","SMA","2RA",0.0391991449539054,"Vehicle","growing"
"255","Unclass","2RA",0.442872411537403,"Vehicle","growing"
"256","CD8","14NB",0.106152004735647,"PDL1+LY","growing"
"257","EpCAM","14NB",0.368885019612605,"PDL1+LY","growing"
"258","EpCAM: SMA","14NB",0.063993035302689,"PDL1+LY","growing"
"259","SMA","14NB",0.181603615050858,"PDL1+LY","growing"
"260","Unclass","14NB",0.2793663252982,"PDL1+LY","growing"
"261","CD8","12LC",0.107059057466693,"PDL1","growing"
"262","EpCAM","12LC",0.581189103201432,"PDL1","growing"
"263","EpCAM: SMA","12LC",0.0114933386359117,"PDL1","growing"
"264","SMA","12LC",0.00497116723006562,"PDL1","growing"
"265","Unclass","12LC",0.295287333465898,"PDL1","growing"
"266","CD8","17ND",0.111526720118085,"Vehicle","stable"
"267","EpCAM","17ND",0.5278355530209,"Vehicle","stable"
"268","EpCAM: SMA","17ND",0.00170250595457748,"Vehicle","stable"
"269","SMA","17ND",0.0111711228152571,"Vehicle","stable"
"270","Unclass","17ND",0.347764098091181,"Vehicle","stable"
"271","CD8","11LB",0.152177738773681,"PDL1","growing"
"272","EpCAM","11LB",0.455467236429688,"PDL1","growing"
"273","EpCAM: SMA","11LB",1.00783553364504e-05,"PDL1","growing"
"274","SMA","11LB",3.64371308317822e-05,"PDL1","growing"
"275","Unclass","11LB",0.392308509310462,"PDL1","growing"
"276","CD8","6RB",0.155480427254777,"LY","growing"
"277","EpCAM","6RB",0.177143939704656,"LY","growing"
"278","EpCAM: SMA","6RB",0,"LY","growing"
"279","SMA","6RB",0.483032657373934,"LY","growing"
