"","Grid","NearestNeighbor","Reference","value","SpatialManual","Treatment","knn"
"9457","knn3-15","EpCAM: SMA","CD8",0.078800102595192,"Infiltrating","Vehicle","knn3"
"9472","knn3-15","SMA","CD8",0.0414694429547415,"Infiltrating","Vehicle","knn3"
"9487","knn3-15","Unclass","CD8",0.213374682304661,"Infiltrating","Vehicle","knn3"
"9802","knn3-15","CD8","CD8",0.384651849690959,"restricted","Vehicle","knn3"
"9817","knn3-15","EpCAM","CD8",0.28264080077306,"restricted","Vehicle","knn3"
"9832","knn3-15","EpCAM: SMA","CD8",0.0808521888161613,"restricted","Vehicle","knn3"
"9847","knn3-15","SMA","CD8",0.244872098747425,"restricted","Vehicle","knn3"
"9862","knn3-15","Unclass","CD8",0.590296643389793,"restricted","Vehicle","knn3"
"10177","knn3-15","CD8","CD8",0.346467844051983,"restricted","Vehicle","knn3"
"10192","knn3-15","EpCAM","CD8",0.437104298567144,"restricted","Vehicle","knn3"
"10207","knn3-15","EpCAM: SMA","CD8",0.000958013995334888,"restricted","Vehicle","knn3"
"10222","knn3-15","SMA","CD8",0.0452765744751749,"restricted","Vehicle","knn3"
"10237","knn3-15","Unclass","CD8",0.685688103965345,"restricted","Vehicle","knn3"
"10552","knn3-15","CD8","CD8",0.321979330993851,"restricted","Vehicle","knn3"
"10567","knn3-15","EpCAM","CD8",0.197900904671453,"restricted","Vehicle","knn3"
"10582","knn3-15","EpCAM: SMA","CD8",0.17401242715946,"restricted","Vehicle","knn3"
"10597","knn3-15","SMA","CD8",0.24921927819452,"restricted","Vehicle","knn3"
"10612","knn3-15","Unclass","CD8",0.521618750201217,"restricted","Vehicle","knn3"
"10927","knn3-15","CD8","CD8",0.42436282932417,"restricted","Vehicle","knn3"
"10942","knn3-15","EpCAM","CD8",0.286523959526537,"restricted","Vehicle","knn3"
"10957","knn3-15","EpCAM: SMA","CD8",0.0929863497518137,"restricted","Vehicle","knn3"
"10972","knn3-15","SMA","CD8",0.0477520045819015,"restricted","Vehicle","knn3"
"10987","knn3-15","Unclass","CD8",0.238795819014891,"restricted","Vehicle","knn3"
"11302","knn3-15","CD8","CD8",0.723386802770689,"Infiltrating","Vehicle","knn3"
"11317","knn3-15","EpCAM","CD8",0.437791145137117,"Infiltrating","Vehicle","knn3"
"11332","knn3-15","SMA","CD8",0.0275246080933285,"Infiltrating","Vehicle","knn3"
"11347","knn3-15","Unclass","CD8",0.221877911451371,"Infiltrating","Vehicle","knn3"
"11542","knn3-15","CD8","CD8",0.177995891349007,"restricted","Vehicle","knn3"
"11557","knn3-15","EpCAM","CD8",0.291075097009815,"restricted","Vehicle","knn3"
"11572","knn3-15","SMA","CD8",0.359233051814654,"restricted","Vehicle","knn3"
"11587","knn3-15","Unclass","CD8",0.205569504679297,"restricted","Vehicle","knn3"
"11782","knn3-15","CD8","CD8",0.20391754340946,"Infiltrating","Vehicle","knn3"
"11797","knn3-15","EpCAM","CD8",0.296210760413994,"Infiltrating","Vehicle","knn3"
"11812","knn3-15","EpCAM: SMA","CD8",0.0879308870070995,"Infiltrating","Vehicle","knn3"
"11827","knn3-15","SMA","CD8",0.200496108117355,"Infiltrating","Vehicle","knn3"
"11842","knn3-15","Unclass","CD8",0.316568300402019,"Infiltrating","Vehicle","knn3"
"12157","knn3-15","CD8","CD8",0.217271959459459,"Infiltrating","Vehicle","knn3"
"12172","knn3-15","EpCAM","CD8",0.290329391891892,"Infiltrating","Vehicle","knn3"
"12187","knn3-15","EpCAM: SMA","CD8",0.122387035472973,"Infiltrating","Vehicle","knn3"
"12202","knn3-15","SMA","CD8",0.238175675675676,"Infiltrating","Vehicle","knn3"
"12217","knn3-15","Unclass","CD8",0.571473817567568,"Infiltrating","Vehicle","knn3"
"12532","knn3-15","CD8","CD8",0.267504488330341,"restricted","Vehicle","knn3"
"12547","knn3-15","EpCAM","CD8",0.685143626570916,"restricted","Vehicle","knn3"
"12562","knn3-15","SMA","CD8",0.218806104129264,"restricted","Vehicle","knn3"
"12577","knn3-15","Unclass","CD8",0.0832585278276481,"restricted","Vehicle","knn3"
"12772","knn3-15","CD8","CD8",0.0356608478802993,"Infiltrating","Vehicle","knn3"
"12787","knn3-15","EpCAM","CD8",0.476807980049875,"Infiltrating","Vehicle","knn3"
"12802","knn3-15","SMA","CD8",0.716957605985037,"Infiltrating","Vehicle","knn3"
"12817","knn3-15","Unclass","CD8",0.127182044887781,"Infiltrating","Vehicle","knn3"
"13012","knn3-15","CD8","CD8",0.367229442837198,"restricted","Vehicle","knn3"
"13027","knn3-15","EpCAM","CD8",0.176547634468961,"restricted","Vehicle","knn3"
"13042","knn3-15","EpCAM: SMA","CD8",0.118283748578666,"restricted","Vehicle","knn3"
"13057","knn3-15","SMA","CD8",0.334643119305669,"restricted","Vehicle","knn3"
"13072","knn3-15","Unclass","CD8",0.32107028225168,"restricted","Vehicle","knn3"
"13387","knn3-15","CD8","CD8",0.390197493602782,"Infiltrating","Vehicle","knn3"
"13402","knn3-15","EpCAM","CD8",0.247129453447936,"Infiltrating","Vehicle","knn3"
"13417","knn3-15","SMA","CD8",0.582442096975264,"Infiltrating","Vehicle","knn3"
"13432","knn3-15","Unclass","CD8",0.19982284626993,"Infiltrating","Vehicle","knn3"
"13627","knn3-15","CD8","CD8",0.337961750065496,"restricted","Vehicle","knn3"
"13642","knn3-15","EpCAM","CD8",0.280717841236573,"restricted","Vehicle","knn3"
"13657","knn3-15","Unclass","CD8",0.650248886560126,"restricted","Vehicle","knn3"
"13762","knn3-15","CD8","CD8",0.529703235196541,"restricted","Vehicle","knn3"
"13777","knn3-15","EpCAM","CD8",0.116854485718261,"restricted","Vehicle","knn3"
"13792","knn3-15","SMA","CD8",0.451653984867456,"restricted","Vehicle","knn3"
"13807","knn3-15","Unclass","CD8",0.106666238589056,"restricted","Vehicle","knn3"
"14002","knn3-15","CD8","CD8",0.494372060750906,"restricted","Vehicle","knn3"
"14017","knn3-15","EpCAM","CD8",0.0735101380001542,"restricted","Vehicle","knn3"
"14032","knn3-15","EpCAM: SMA","CD8",0.0027368745663403,"restricted","Vehicle","knn3"
"14047","knn3-15","SMA","CD8",0.140004625703492,"restricted","Vehicle","knn3"
"14062","knn3-15","Unclass","CD8",0.253064528563719,"restricted","Vehicle","knn3"
"14377","knn3-15","CD8","CD8",0.482081474048295,"restricted","Vehicle","knn3"
"14392","knn3-15","EpCAM","CD8",0.193431475115827,"restricted","Vehicle","knn3"
"14407","knn3-15","SMA","CD8",0.521307940303606,"restricted","Vehicle","knn3"
"14422","knn3-15","Unclass","CD8",0.294505412387642,"restricted","Vehicle","knn3"
"14617","knn3-15","CD8","CD8",0.411064068557437,"restricted","LY","knn3"
"14632","knn3-15","EpCAM","CD8",0.109288920628443,"restricted","LY","knn3"
"14647","knn3-15","SMA","CD8",0.622245460110182,"restricted","LY","knn3"
"14662","knn3-15","Unclass","CD8",0.0145633544174658,"restricted","LY","knn3"
"14857","knn3-15","CD8","CD8",0.599144867442707,NA,"LY","knn3"
"14872","knn3-15","EpCAM","CD8",0.275662786463534,NA,"LY","knn3"
"14887","knn3-15","EpCAM: SMA","CD8",0.0305404484747395,NA,"LY","knn3"
"14902","knn3-15","SMA","CD8",0.212908038011112,NA,"LY","knn3"
"14917","knn3-15","Unclass","CD8",0.079839780108771,NA,"LY","knn3"
"15232","knn3-15","CD8","CD8",0.525801426992262,"Infiltrating","LY","knn3"
"15247","knn3-15","EpCAM","CD8",0.144683951361672,"Infiltrating","LY","knn3"
"15262","knn3-15","SMA","CD8",0.671251633001708,"Infiltrating","LY","knn3"
"15277","knn3-15","Unclass","CD8",0.265350216058688,"Infiltrating","LY","knn3"
"15472","knn3-15","CD8","CD8",0.383061827188721,"restricted","LY","knn3"
"15487","knn3-15","EpCAM","CD8",0.196602203804262,"restricted","LY","knn3"
"15502","knn3-15","EpCAM: SMA","CD8",0.0674351401987869,"restricted","LY","knn3"
"15517","knn3-15","SMA","CD8",0.542485154488584,"restricted","LY","knn3"
"15532","knn3-15","Unclass","CD8",0.241199072750945,"restricted","LY","knn3"
"15847","knn3-15","CD8","CD8",0.388782565748858,"restricted","LY","knn3"
"15862","knn3-15","EpCAM","CD8",0.0728176318063958,"restricted","LY","knn3"
"15877","knn3-15","SMA","CD8",0.384677120632177,"restricted","LY","knn3"
"15892","knn3-15","Unclass","CD8",0.306087171255711,"restricted","LY","knn3"
"16087","knn3-15","CD8","CD8",0.552614212719422,"restricted","LY","knn3"
"16102","knn3-15","EpCAM","CD8",0.0531232912872146,"restricted","LY","knn3"
"16117","knn3-15","SMA","CD8",0.523379904594905,"restricted","LY","knn3"
"16132","knn3-15","Unclass","CD8",0.0517751758206535,"restricted","LY","knn3"
"16327","knn3-15","CD8","CD8",0.295153460051016,"restricted","LY","knn3"
"16342","knn3-15","EpCAM","CD8",0.225129597630215,"restricted","LY","knn3"
"16357","knn3-15","EpCAM: SMA","CD8",0.18667544364903,"restricted","LY","knn3"
"16372","knn3-15","SMA","CD8",0.499218300008228,"restricted","LY","knn3"
"16387","knn3-15","Unclass","CD8",0.190844510271812,"restricted","LY","knn3"
"16702","knn3-15","CD8","CD8",0.0670603121045972,NA,"LY","knn3"
"16717","knn3-15","EpCAM","CD8",0.191733445803458,NA,"LY","knn3"
"16732","knn3-15","EpCAM: SMA","CD8",0.67874314635175,NA,"LY","knn3"
"16747","knn3-15","SMA","CD8",0.115563053563897,NA,"LY","knn3"
"16762","knn3-15","Unclass","CD8",0.10970054829186,NA,"LY","knn3"
"17077","knn3-15","CD8","CD8",0.301384137470017,"Infiltrating","LY","knn3"
"17092","knn3-15","EpCAM","CD8",0.238645747316268,"Infiltrating","LY","knn3"
"17107","knn3-15","SMA","CD8",0.684243639652393,"Infiltrating","LY","knn3"
"17122","knn3-15","Unclass","CD8",0.174590067240769,"Infiltrating","LY","knn3"
"17317","knn3-15","CD8","CD8",0.345674300254453,"Infiltrating","LY","knn3"
"17332","knn3-15","EpCAM","CD8",0.65089058524173,"Infiltrating","LY","knn3"
"17347","knn3-15","EpCAM: SMA","CD8",0.00089058524173028,"Infiltrating","LY","knn3"
"17362","knn3-15","SMA","CD8",0.00356234096692112,"Infiltrating","LY","knn3"
"17377","knn3-15","Unclass","CD8",0.387150127226463,"Infiltrating","LY","knn3"
"17692","knn3-15","CD8","CD8",0.105135015493581,"restricted","LY","knn3"
"17707","knn3-15","EpCAM","CD8",0.618636564851704,"restricted","LY","knn3"
"17722","knn3-15","SMA","CD8",0.366976538291279,"restricted","LY","knn3"
"17737","knn3-15","Unclass","CD8",0.267374944665781,"restricted","LY","knn3"
"17932","knn3-15","CD8","CD8",0.27468062476846,"restricted","LY","knn3"
"17947","knn3-15","EpCAM","CD8",0.234742288985289,"restricted","LY","knn3"
"17962","knn3-15","SMA","CD8",0.469735536992555,"restricted","LY","knn3"
"17977","knn3-15","Unclass","CD8",0.28898528902114,"restricted","LY","knn3"
