"","10L_C_DN","10R_BL_DN","11L_B_DN","11R_D_DN","11R_C_DN","12L_D_DN","14N_C_DN","14N_D_DN","14R_B_DN","15L_B_DN","15N_C_DN","16L_C_DN","16L_D_DN","16R_D_DN","17N_D_DN","17N_A_DN","2N__DN","2R_A_DN","2R_C_DN","3L_D_DN","3L_A_DN","3N_B_DN","3R_C_DN","3R_B_DN","4N_C_DN","6R_B_DN","6R_D_DN","8R_CU_DN","8R_CL_DN","9L_A_DN"
"3L_A_DN",0.904064337873794,0.88937444540567,0.902522134739462,0.948588558460308,0.919750137303316,0.919738799629341,0.924384987568161,0.903801499230873,0.907902509080001,0.92056270647344,0.897450879819681,0.948840715248922,0.90506423633825,0.844106692570979,0.897352367209402,0.884038003975121,0.91528575982753,0.928990554133397,0.948479716540708,0.836203278817298,1,0.918378445222729,0.964314648344938,0.968416034372188,0.888272405427508,0.896790446597873,0.893087257394008,0.897089248336403,0.863035500988302,0.890375564058991
"3N_B_DN",0.87364763481783,0.909010974632857,0.91709435621783,0.921145891853887,0.928670437857971,0.933936911513249,0.927489907604913,0.917235366752168,0.926660369364386,0.908039007159062,0.913996655305942,0.907358506399772,0.921814027774192,0.88693529470685,0.921647384374448,0.898601171473369,0.876442715274696,0.919033293033545,0.900375561890228,0.765091149707877,0.918378445222729,1,0.905354219212513,0.924107394907303,0.938362855554659,0.910200414327556,0.910649431755526,0.9240600957409,0.910431537740495,0.892517012808888
"3R_C_DN",0.921832275913368,0.863979642047939,0.891000919384618,0.930895018310275,0.914115717788892,0.934064479468602,0.924029513045278,0.898184669119396,0.895694256300878,0.924216096552075,0.88079537587887,0.938295055161355,0.890298346428625,0.823965880788754,0.890811878679187,0.859891468724864,0.902753134478579,0.946462594835139,0.952497688671671,0.824784700954115,0.964314648344938,0.905354219212513,1,0.970631763702646,0.888593960410217,0.90715096605786,0.905456098509684,0.879692640205301,0.855546326347058,0.863671480884734
"3R_B_DN",0.909228160901618,0.884393372290329,0.907903643862132,0.927381713718309,0.914024243228468,0.929232316492761,0.924364538674811,0.895409790166261,0.906654153215055,0.918851563145576,0.892168145796654,0.94078818807549,0.892934732836206,0.832882877478793,0.888361259748439,0.872074665753755,0.929692863499601,0.960213346213041,0.962416340612165,0.84692338806879,0.968416034372188,0.924107394907303,0.970631763702646,1,0.884128185500184,0.921038230577541,0.913284158948843,0.888839630160368,0.855577153750439,0.877348681447284
"4N_C_DN",0.838213123789864,0.92851395707923,0.930709094103524,0.921527187044319,0.942010263503219,0.943186762092297,0.94418899524587,0.950153395310923,0.949497289812207,0.894186785602827,0.945035982418337,0.905634929359781,0.953959528156967,0.934600996042951,0.959308723762897,0.928021305317975,0.862075057690224,0.882962109371585,0.873225042692218,0.7296482556654,0.888272405427508,0.938362855554659,0.888593960410217,0.884128185500184,1,0.890727822016297,0.874279960499501,0.960811805668042,0.957365836929544,0.911881793843533
"6R_B_DN",0.912723256386164,0.8325612889872,0.866030605922793,0.875585785798135,0.865629362925493,0.899656118407627,0.878830384257682,0.858674134062768,0.871734609210642,0.923904505131255,0.865062290231956,0.876299220836594,0.838308172102576,0.788013046412578,0.86054094044374,0.806612847561967,0.887368521871145,0.934485672701992,0.91887766452011,0.787274045714445,0.896790446597873,0.910200414327556,0.90715096605786,0.921038230577541,0.890727822016297,1,0.951910759956942,0.855319316932911,0.831680203426113,0.818070549624856
"6R_D_DN",0.944502341669997,0.835149974010698,0.839725394300571,0.882032697528981,0.862837560778975,0.905797590416038,0.87832882213077,0.861152869500054,0.860344782144383,0.939199331607856,0.860462527841423,0.882004005404416,0.819212644479913,0.773296572391719,0.857770070703679,0.78950674442816,0.889218145115332,0.938130333065782,0.920057043701198,0.821023776706645,0.893087257394008,0.910649431755526,0.905456098509684,0.913284158948843,0.874279960499501,0.951910759956942,1,0.836482718457142,0.817311654536399,0.806735239020067
"8R_CU_DN",0.809439939785755,0.939396729118226,0.959442209016865,0.917718908964932,0.935685943557466,0.913673626906757,0.948269528029482,0.960041928858311,0.970530568368783,0.884283677434773,0.958875654237282,0.918946807988875,0.971051295445605,0.959270496788809,0.963081983037305,0.968140150446466,0.875712740331892,0.857166935886799,0.869692897519333,0.710970635177973,0.897089248336403,0.9240600957409,0.879692640205301,0.888839630160368,0.960811805668042,0.855319316932911,0.836482718457142,1,0.969117937941651,0.948398334826449
"8R_CL_DN",0.780985983376943,0.928119436747009,0.936883991529103,0.897582451672815,0.930708857055908,0.920042384746844,0.939974593121322,0.965268853980094,0.952881693150533,0.857383956458844,0.945269288974633,0.896015022637808,0.955612238764451,0.954247645804117,0.96181971487179,0.949177230717575,0.850116677900714,0.846394956599563,0.849319291983094,0.687434200109008,0.863035500988302,0.910431537740495,0.855546326347058,0.855577153750439,0.957365836929544,0.831680203426113,0.817311654536399,0.969117937941651,1,0.932417241914303
"9L_A_DN",0.778553186164032,0.939347361089108,0.934264495404761,0.904377805686002,0.905764158117843,0.88627319616947,0.929400336432995,0.943598593133155,0.949534548517078,0.861827575107302,0.930955903130786,0.912288062700764,0.939615239244066,0.946538454596957,0.929995830005078,0.944248739482666,0.87830985493919,0.83736915450655,0.861619437634097,0.721482143894907,0.890375564058991,0.892517012808888,0.863671480884734,0.877348681447284,0.911881793843533,0.818070549624856,0.806735239020067,0.948398334826449,0.932417241914303,1
