"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Ivns1abp",1316.27221518977,0.6225016628072,0.269602066245481,2.30896473263819,0.0209455383485507,0.150451075140852,1316.27221518977,0.492109575095132,0.269581984017372,1.82545423756292,0.0679325109632818,0.229789631711864,1316.27221518977,0.424794768818062,0.256980540977907,1.65302309350568,0.0983261636906107,0.250273021159244
"Prorp",324.885921944024,-0.386393544226891,0.324935824986405,-1.18913802207884,0.234385358484723,0.501310784585491,324.885921944024,0.0387433592686308,0.324308885318595,0.119464378012863,0.904907460114866,0.954587043905202,324.885921944024,-0.143568492947567,0.309349066451975,-0.464098678538781,0.642577048483126,0.788503955268418
"Dnajc12",236.359909639491,0.150662333998628,0.352891147990255,0.426937130207609,0.669425120333202,0.843915955596668,236.359909639491,0.0912495262144349,0.352712920374682,0.258707637127389,0.795860826555478,0.898589948398158,236.359909639491,0.0501512531782534,0.336389252868827,0.149086966217109,0.881485010400726,0.937303338321871
"Brix1",578.759018766326,0.225135100345678,0.170463503712521,1.32072317793818,0.186593682843651,0.445547206202804,578.759018766326,0.0118616513631845,0.170461293603884,0.0695855998297683,0.94452349882627,0.972891710869755,578.759018766326,0.27879049900806,0.162440382567195,1.71626349681081,0.0861138261846229,0.231336930418106
"Dnajc25",157.200625000271,-0.54103684444866,0.188883594659413,-2.86439298989536,0.0041780929793105,0.0685756867332095,157.200625000271,-0.548215858831928,0.188105350939959,-2.91440863373903,0.00356363104790431,0.0447175985064121,157.200625000271,-0.810011338494404,0.180810956685659,-4.47987972267971,7.46851127288148e-06,0.000524870375566393
"Gmps",1271.26548290092,0.313872584858949,0.140993435226872,2.22615034773709,0.0260041124906227,0.167547719697645,1271.26548290092,0.232590267722526,0.140926629705775,1.65043518182564,0.0988539603452957,0.282214461938621,1271.26548290092,0.235240936656905,0.13442708885958,1.74995187839435,0.080126617683502,0.221956579641526
"Exoc1",223.996028716002,0.340474416904685,0.204668141339134,1.66354379668949,0.0962036315685895,0.317351671659355,223.996028716002,0.377262740340845,0.20416387210804,1.84784279630631,0.0646250878101109,0.224728281720772,223.996028716002,0.410819950601326,0.19491247123657,2.10771505791799,0.0350556440182342,0.132513482939619
"LOC367117",2.59540704349192,0.206718402058982,0.858871593619666,0.240686039210796,0.809798460033859,NA,2.59540704349192,-0.431477689020787,0.873172456702864,-0.494149449754823,0.621200636957577,NA,2.59540704349192,-0.361470151223632,0.821628324043351,-0.43994363466535,0.659977931535071,NA
"Sfrp2",21.9795822164674,-0.639255164471563,1.06990621420293,-0.597487103061461,0.550182215057519,0.767169785643274,21.9795822164674,-1.85542506327516,1.0768933671035,-1.72294223360821,0.0848989718929191,0.258830908073166,21.9795822164674,-1.62216939662719,1.02631974927,-1.58056921128235,0.113976570234157,0.274920180533026
"Sqor",248.522903996735,-1.1025288281346,0.39347383873327,-2.80203845745888,0.005078081980711,0.0748885535626874,248.522903996735,-1.67310060953125,0.394011352638101,-4.24632589474647,2.17304493073706e-05,0.00200489264443003,248.522903996735,-1.39674301528759,0.37527463143733,-3.72192228911921,0.000197711876123405,0.00529635225803522
"C1d",253.218083471209,-0.386028717155948,0.258716558049087,-1.49209126801504,0.135675220696213,0.378163307792959,253.218083471209,-0.674890157015135,0.258818842404649,-2.60757737243868,0.00911854601183896,0.0752230798573279,253.218083471209,-0.504388262248911,0.246586551876273,-2.04548163073383,0.0408073983832648,0.145895015713922
"Mrps28",270.867666879659,-0.814456798216415,0.279654418846148,-2.91236877849761,0.0035869887595625,0.0628414742866777,270.867666879659,-0.717536205991646,0.279154030494914,-2.5703952929482,0.0101582529740369,0.079521677322006,270.867666879659,-0.835770182482413,0.266414840516628,-3.13710069927673,0.00170627513118751,0.0202987903537824
"Pex13",645.528094936912,0.0503403794715091,0.18382905805416,0.273843428260824,0.784204947858572,0.901480029984171,645.528094936912,0.00547321441282002,0.183691844404954,0.029795630995757,0.976230043181698,0.988474370872506,645.528094936912,-0.0744735581105971,0.175279415552199,-0.424884792523846,0.670920661173025,0.806026947607295
