"","cell_type","variable","value","growth","treatment","cell_type2","sdat"
"442","B cell memory_CIBERSORT","3L_D_CD45",0.0181251195855378,"growing","Vehicle","B ce","3L_D_CD45.B ce"
"443","B cell plasma_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","B ce","3L_D_CD45.B ce"
"444","T cell CD8+_CIBERSORT","3L_D_CD45",0.0989689356267177,"growing","Vehicle","T CD8","3L_D_CD45.T CD8"
"445","T cell CD4+ naive_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","T CD4","3L_D_CD45.T CD4"
"446","T cell CD4+ memory resting_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","T CD4","3L_D_CD45.T CD4"
"447","T cell CD4+ memory activated_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","T CD4","3L_D_CD45.T CD4"
"448","T cell follicular helper_CIBERSORT","3L_D_CD45",0.0187321518985656,"growing","Vehicle","T ce","3L_D_CD45.T ce"
"449","T cell regulatory (Tregs)_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","T ce","3L_D_CD45.T ce"
"450","T cell gamma delta_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","T ce","3L_D_CD45.T ce"
"451","NK cell resting_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","NK c","3L_D_CD45.NK c"
"452","NK cell activated_CIBERSORT","3L_D_CD45",0.0696117564206262,"growing","Vehicle","NK c","3L_D_CD45.NK c"
"453","Monocyte_CIBERSORT","3L_D_CD45",0.110590450016286,"growing","Vehicle","Mono","3L_D_CD45.Mono"
"454","Macrophage M0_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","Macr","3L_D_CD45.Macr"
"455","Macrophage M1_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","Macr","3L_D_CD45.Macr"
"456","Macrophage M2_CIBERSORT","3L_D_CD45",0.366141473101199,"growing","Vehicle","Macr","3L_D_CD45.Macr"
"457","Myeloid dendritic cell resting_CIBERSORT","3L_D_CD45",0.01027794450431,"growing","Vehicle","Myel","3L_D_CD45.Myel"
"458","Myeloid dendritic cell activated_CIBERSORT","3L_D_CD45",0.00914623967793517,"growing","Vehicle","Myel","3L_D_CD45.Myel"
"459","Mast cell activated_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","Mast","3L_D_CD45.Mast"
"460","Mast cell resting_CIBERSORT","3L_D_CD45",0.298405929168823,"growing","Vehicle","Mast","3L_D_CD45.Mast"
"461","Eosinophil_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","Eosi","3L_D_CD45.Eosi"
"462","Neutrophil_CIBERSORT","3L_D_CD45",0,"growing","Vehicle","Neut","3L_D_CD45.Neut"
"463","B cell naive_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","B ce","3L_A_CD45.B ce"
"464","B cell memory_CIBERSORT","3L_A_CD45",0.0578112044324802,"growing","Vehicle","B ce","3L_A_CD45.B ce"
"465","B cell plasma_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","B ce","3L_A_CD45.B ce"
"466","T cell CD8+_CIBERSORT","3L_A_CD45",0.240914118612412,"growing","Vehicle","T CD8","3L_A_CD45.T CD8"
"467","T cell CD4+ naive_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","T CD4","3L_A_CD45.T CD4"
"468","T cell CD4+ memory resting_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","T CD4","3L_A_CD45.T CD4"
"469","T cell CD4+ memory activated_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","T CD4","3L_A_CD45.T CD4"
"470","T cell follicular helper_CIBERSORT","3L_A_CD45",0.161516088379162,"growing","Vehicle","T ce","3L_A_CD45.T ce"
"471","T cell regulatory (Tregs)_CIBERSORT","3L_A_CD45",0.108884940311103,"growing","Vehicle","T ce","3L_A_CD45.T ce"
"472","T cell gamma delta_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","T ce","3L_A_CD45.T ce"
"473","NK cell resting_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","NK c","3L_A_CD45.NK c"
"474","NK cell activated_CIBERSORT","3L_A_CD45",0.154760269768027,"growing","Vehicle","NK c","3L_A_CD45.NK c"
"475","Monocyte_CIBERSORT","3L_A_CD45",0.0593410908651523,"growing","Vehicle","Mono","3L_A_CD45.Mono"
"476","Macrophage M0_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","Macr","3L_A_CD45.Macr"
"477","Macrophage M1_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","Macr","3L_A_CD45.Macr"
"478","Macrophage M2_CIBERSORT","3L_A_CD45",0.0855308073619183,"growing","Vehicle","Macr","3L_A_CD45.Macr"
"479","Myeloid dendritic cell resting_CIBERSORT","3L_A_CD45",0.0165847196077455,"growing","Vehicle","Myel","3L_A_CD45.Myel"
"480","Myeloid dendritic cell activated_CIBERSORT","3L_A_CD45",0.0205361267609461,"growing","Vehicle","Myel","3L_A_CD45.Myel"
"481","Mast cell activated_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","Mast","3L_A_CD45.Mast"
"482","Mast cell resting_CIBERSORT","3L_A_CD45",0.0941206339010541,"growing","Vehicle","Mast","3L_A_CD45.Mast"
"483","Eosinophil_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","Eosi","3L_A_CD45.Eosi"
"484","Neutrophil_CIBERSORT","3L_A_CD45",0,"growing","Vehicle","Neut","3L_A_CD45.Neut"
"485","B cell naive_CIBERSORT","3N_B_CD45",0.0854514169582447,"stable","Vehicle","B ce","3N_B_CD45.B ce"
"486","B cell memory_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","B ce","3N_B_CD45.B ce"
"487","B cell plasma_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","B ce","3N_B_CD45.B ce"
"488","T cell CD8+_CIBERSORT","3N_B_CD45",0.243317392088531,"stable","Vehicle","T CD8","3N_B_CD45.T CD8"
"489","T cell CD4+ naive_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","T CD4","3N_B_CD45.T CD4"
"490","T cell CD4+ memory resting_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","T CD4","3N_B_CD45.T CD4"
"491","T cell CD4+ memory activated_CIBERSORT","3N_B_CD45",0.124743663423651,"stable","Vehicle","T CD4","3N_B_CD45.T CD4"
"492","T cell follicular helper_CIBERSORT","3N_B_CD45",0.142401217259797,"stable","Vehicle","T ce","3N_B_CD45.T ce"
"493","T cell regulatory (Tregs)_CIBERSORT","3N_B_CD45",0.116020937551663,"stable","Vehicle","T ce","3N_B_CD45.T ce"
"494","T cell gamma delta_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","T ce","3N_B_CD45.T ce"
"495","NK cell resting_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","NK c","3N_B_CD45.NK c"
"496","NK cell activated_CIBERSORT","3N_B_CD45",0.0650496730647587,"stable","Vehicle","NK c","3N_B_CD45.NK c"
"497","Monocyte_CIBERSORT","3N_B_CD45",0.0193294144437586,"stable","Vehicle","Mono","3N_B_CD45.Mono"
"498","Macrophage M0_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","Macr","3N_B_CD45.Macr"
"499","Macrophage M1_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","Macr","3N_B_CD45.Macr"
"500","Macrophage M2_CIBERSORT","3N_B_CD45",0.0431259379661054,"stable","Vehicle","Macr","3N_B_CD45.Macr"
"501","Myeloid dendritic cell resting_CIBERSORT","3N_B_CD45",0.00365617038438574,"stable","Vehicle","Myel","3N_B_CD45.Myel"
"502","Myeloid dendritic cell activated_CIBERSORT","3N_B_CD45",0.0246819982855206,"stable","Vehicle","Myel","3N_B_CD45.Myel"
"503","Mast cell activated_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","Mast","3N_B_CD45.Mast"
"504","Mast cell resting_CIBERSORT","3N_B_CD45",0.106590508031474,"stable","Vehicle","Mast","3N_B_CD45.Mast"
"505","Eosinophil_CIBERSORT","3N_B_CD45",0.0256316705421109,"stable","Vehicle","Eosi","3N_B_CD45.Eosi"
"506","Neutrophil_CIBERSORT","3N_B_CD45",0,"stable","Vehicle","Neut","3N_B_CD45.Neut"
"507","B cell naive_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","B ce","3R_C_CD45.B ce"
"508","B cell memory_CIBERSORT","3R_C_CD45",0.0217934752492505,"growing","Vehicle","B ce","3R_C_CD45.B ce"
"509","B cell plasma_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","B ce","3R_C_CD45.B ce"
"510","T cell CD8+_CIBERSORT","3R_C_CD45",0.259959093853017,"growing","Vehicle","T CD8","3R_C_CD45.T CD8"
"511","T cell CD4+ naive_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","T CD4","3R_C_CD45.T CD4"
"512","T cell CD4+ memory resting_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","T CD4","3R_C_CD45.T CD4"
"513","T cell CD4+ memory activated_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","T CD4","3R_C_CD45.T CD4"
"514","T cell follicular helper_CIBERSORT","3R_C_CD45",0.158119224293227,"growing","Vehicle","T ce","3R_C_CD45.T ce"
"515","T cell regulatory (Tregs)_CIBERSORT","3R_C_CD45",0.132941932914622,"growing","Vehicle","T ce","3R_C_CD45.T ce"
"516","T cell gamma delta_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","T ce","3R_C_CD45.T ce"
"517","NK cell resting_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","NK c","3R_C_CD45.NK c"
"518","NK cell activated_CIBERSORT","3R_C_CD45",0.0829572464671422,"growing","Vehicle","NK c","3R_C_CD45.NK c"
"519","Monocyte_CIBERSORT","3R_C_CD45",0.0379869809751629,"growing","Vehicle","Mono","3R_C_CD45.Mono"
"520","Macrophage M0_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Macr","3R_C_CD45.Macr"
"521","Macrophage M1_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Macr","3R_C_CD45.Macr"
"522","Macrophage M2_CIBERSORT","3R_C_CD45",0.136951538281798,"growing","Vehicle","Macr","3R_C_CD45.Macr"
"523","Myeloid dendritic cell resting_CIBERSORT","3R_C_CD45",0.122046557451549,"growing","Vehicle","Myel","3R_C_CD45.Myel"
"524","Myeloid dendritic cell activated_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Myel","3R_C_CD45.Myel"
"525","Mast cell activated_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Mast","3R_C_CD45.Mast"
"526","Mast cell resting_CIBERSORT","3R_C_CD45",0.0472439505142316,"growing","Vehicle","Mast","3R_C_CD45.Mast"
"527","Eosinophil_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Eosi","3R_C_CD45.Eosi"
"528","Neutrophil_CIBERSORT","3R_C_CD45",0,"growing","Vehicle","Neut","3R_C_CD45.Neut"
"529","B cell naive_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","B ce","3R_B_CD45.B ce"
"530","B cell memory_CIBERSORT","3R_B_CD45",0.0959408485555437,"growing","Vehicle","B ce","3R_B_CD45.B ce"
"531","B cell plasma_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","B ce","3R_B_CD45.B ce"
"532","T cell CD8+_CIBERSORT","3R_B_CD45",0.231033171159081,"growing","Vehicle","T CD8","3R_B_CD45.T CD8"
"533","T cell CD4+ naive_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","T CD4","3R_B_CD45.T CD4"
"534","T cell CD4+ memory resting_CIBERSORT","3R_B_CD45",0.0115366971156757,"growing","Vehicle","T CD4","3R_B_CD45.T CD4"
"535","T cell CD4+ memory activated_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","T CD4","3R_B_CD45.T CD4"
"536","T cell follicular helper_CIBERSORT","3R_B_CD45",0.180273293299921,"growing","Vehicle","T ce","3R_B_CD45.T ce"
"537","T cell regulatory (Tregs)_CIBERSORT","3R_B_CD45",0.140120185966441,"growing","Vehicle","T ce","3R_B_CD45.T ce"
"538","T cell gamma delta_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","T ce","3R_B_CD45.T ce"
"539","NK cell resting_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","NK c","3R_B_CD45.NK c"
"540","NK cell activated_CIBERSORT","3R_B_CD45",0.11948318853539,"growing","Vehicle","NK c","3R_B_CD45.NK c"
"541","Monocyte_CIBERSORT","3R_B_CD45",0.0740657592672269,"growing","Vehicle","Mono","3R_B_CD45.Mono"
"542","Macrophage M0_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","Macr","3R_B_CD45.Macr"
"543","Macrophage M1_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","Macr","3R_B_CD45.Macr"
"544","Macrophage M2_CIBERSORT","3R_B_CD45",0.0824448815438283,"growing","Vehicle","Macr","3R_B_CD45.Macr"
"545","Myeloid dendritic cell resting_CIBERSORT","3R_B_CD45",0.0126504014950295,"growing","Vehicle","Myel","3R_B_CD45.Myel"
"546","Myeloid dendritic cell activated_CIBERSORT","3R_B_CD45",0.0135344160924111,"growing","Vehicle","Myel","3R_B_CD45.Myel"
"547","Mast cell activated_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","Mast","3R_B_CD45.Mast"
"548","Mast cell resting_CIBERSORT","3R_B_CD45",0.0389171569694515,"growing","Vehicle","Mast","3R_B_CD45.Mast"
"549","Eosinophil_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","Eosi","3R_B_CD45.Eosi"
"550","Neutrophil_CIBERSORT","3R_B_CD45",0,"growing","Vehicle","Neut","3R_B_CD45.Neut"
"551","B cell naive_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","B ce","5N_A_CD45.B ce"
"552","B cell memory_CIBERSORT","5N_A_CD45",0.0871681202574522,"growing","Vehicle","B ce","5N_A_CD45.B ce"
"553","B cell plasma_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","B ce","5N_A_CD45.B ce"
"554","T cell CD8+_CIBERSORT","5N_A_CD45",0.22708185690302,"growing","Vehicle","T CD8","5N_A_CD45.T CD8"
"555","T cell CD4+ naive_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","T CD4","5N_A_CD45.T CD4"
"556","T cell CD4+ memory resting_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","T CD4","5N_A_CD45.T CD4"
"557","T cell CD4+ memory activated_CIBERSORT","5N_A_CD45",0.00580797802462859,"growing","Vehicle","T CD4","5N_A_CD45.T CD4"
"558","T cell follicular helper_CIBERSORT","5N_A_CD45",0.181237701528078,"growing","Vehicle","T ce","5N_A_CD45.T ce"
"559","T cell regulatory (Tregs)_CIBERSORT","5N_A_CD45",0.186502021513495,"growing","Vehicle","T ce","5N_A_CD45.T ce"
"560","T cell gamma delta_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","T ce","5N_A_CD45.T ce"
"561","NK cell resting_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","NK c","5N_A_CD45.NK c"
"562","NK cell activated_CIBERSORT","5N_A_CD45",0.0965261133285784,"growing","Vehicle","NK c","5N_A_CD45.NK c"
"563","Monocyte_CIBERSORT","5N_A_CD45",0.0282932430611863,"growing","Vehicle","Mono","5N_A_CD45.Mono"
"564","Macrophage M0_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","Macr","5N_A_CD45.Macr"
"565","Macrophage M1_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","Macr","5N_A_CD45.Macr"
"566","Macrophage M2_CIBERSORT","5N_A_CD45",0.0977271411492792,"growing","Vehicle","Macr","5N_A_CD45.Macr"
"567","Myeloid dendritic cell resting_CIBERSORT","5N_A_CD45",0.00281194834137582,"growing","Vehicle","Myel","5N_A_CD45.Myel"
"568","Myeloid dendritic cell activated_CIBERSORT","5N_A_CD45",0.0380755802517076,"growing","Vehicle","Myel","5N_A_CD45.Myel"
"569","Mast cell activated_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","Mast","5N_A_CD45.Mast"
"570","Mast cell resting_CIBERSORT","5N_A_CD45",0.0433695802960587,"growing","Vehicle","Mast","5N_A_CD45.Mast"
"571","Eosinophil_CIBERSORT","5N_A_CD45",0.00539871534514038,"growing","Vehicle","Eosi","5N_A_CD45.Eosi"
"572","Neutrophil_CIBERSORT","5N_A_CD45",0,"growing","Vehicle","Neut","5N_A_CD45.Neut"
"573","B cell naive_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","B ce","5R_B_CD45.B ce"
"574","B cell memory_CIBERSORT","5R_B_CD45",0.125767376364094,"growing","Vehicle","B ce","5R_B_CD45.B ce"
"575","B cell plasma_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","B ce","5R_B_CD45.B ce"
"576","T cell CD8+_CIBERSORT","5R_B_CD45",0.268814673948954,"growing","Vehicle","T CD8","5R_B_CD45.T CD8"
"577","T cell CD4+ naive_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","T CD4","5R_B_CD45.T CD4"
"578","T cell CD4+ memory resting_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","T CD4","5R_B_CD45.T CD4"
"579","T cell CD4+ memory activated_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","T CD4","5R_B_CD45.T CD4"
"580","T cell follicular helper_CIBERSORT","5R_B_CD45",0.15915449487051,"growing","Vehicle","T ce","5R_B_CD45.T ce"
"581","T cell regulatory (Tregs)_CIBERSORT","5R_B_CD45",0.13038627439547,"growing","Vehicle","T ce","5R_B_CD45.T ce"
"582","T cell gamma delta_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","T ce","5R_B_CD45.T ce"
"583","NK cell resting_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","NK c","5R_B_CD45.NK c"
"584","NK cell activated_CIBERSORT","5R_B_CD45",0.117802600532425,"growing","Vehicle","NK c","5R_B_CD45.NK c"
"585","Monocyte_CIBERSORT","5R_B_CD45",0.0345778242593129,"growing","Vehicle","Mono","5R_B_CD45.Mono"
"586","Macrophage M0_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","Macr","5R_B_CD45.Macr"
"587","Macrophage M1_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","Macr","5R_B_CD45.Macr"
"588","Macrophage M2_CIBERSORT","5R_B_CD45",0.102918093014439,"growing","Vehicle","Macr","5R_B_CD45.Macr"
"589","Myeloid dendritic cell resting_CIBERSORT","5R_B_CD45",0.0216369310026776,"growing","Vehicle","Myel","5R_B_CD45.Myel"
"590","Myeloid dendritic cell activated_CIBERSORT","5R_B_CD45",0.00671561357033954,"growing","Vehicle","Myel","5R_B_CD45.Myel"
"591","Mast cell activated_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","Mast","5R_B_CD45.Mast"
"592","Mast cell resting_CIBERSORT","5R_B_CD45",0.0322261180417778,"growing","Vehicle","Mast","5R_B_CD45.Mast"
"593","Eosinophil_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","Eosi","5R_B_CD45.Eosi"
"594","Neutrophil_CIBERSORT","5R_B_CD45",0,"growing","Vehicle","Neut","5R_B_CD45.Neut"
"595","B cell naive_CIBERSORT","6N_D_CD45",0.0778475720596909,"growing","LY","B ce","6N_D_CD45.B ce"
"596","B cell memory_CIBERSORT","6N_D_CD45",0,"growing","LY","B ce","6N_D_CD45.B ce"
"597","B cell plasma_CIBERSORT","6N_D_CD45",0,"growing","LY","B ce","6N_D_CD45.B ce"
"598","T cell CD8+_CIBERSORT","6N_D_CD45",0.310661776707645,"growing","LY","T CD8","6N_D_CD45.T CD8"
"599","T cell CD4+ naive_CIBERSORT","6N_D_CD45",0,"growing","LY","T CD4","6N_D_CD45.T CD4"
"600","T cell CD4+ memory resting_CIBERSORT","6N_D_CD45",0,"growing","LY","T CD4","6N_D_CD45.T CD4"
"601","T cell CD4+ memory activated_CIBERSORT","6N_D_CD45",0.04730643377015,"growing","LY","T CD4","6N_D_CD45.T CD4"
"602","T cell follicular helper_CIBERSORT","6N_D_CD45",0.138076001746268,"growing","LY","T ce","6N_D_CD45.T ce"
"603","T cell regulatory (Tregs)_CIBERSORT","6N_D_CD45",0.162284536195346,"growing","LY","T ce","6N_D_CD45.T ce"
"604","T cell gamma delta_CIBERSORT","6N_D_CD45",0,"growing","LY","T ce","6N_D_CD45.T ce"
"605","NK cell resting_CIBERSORT","6N_D_CD45",0,"growing","LY","NK c","6N_D_CD45.NK c"
"606","NK cell activated_CIBERSORT","6N_D_CD45",0.0725534197603423,"growing","LY","NK c","6N_D_CD45.NK c"
"607","Monocyte_CIBERSORT","6N_D_CD45",0.0166417915667339,"growing","LY","Mono","6N_D_CD45.Mono"
"608","Macrophage M0_CIBERSORT","6N_D_CD45",0,"growing","LY","Macr","6N_D_CD45.Macr"
"609","Macrophage M1_CIBERSORT","6N_D_CD45",0,"growing","LY","Macr","6N_D_CD45.Macr"
"610","Macrophage M2_CIBERSORT","6N_D_CD45",0.0820409888681417,"growing","LY","Macr","6N_D_CD45.Macr"
"611","Myeloid dendritic cell resting_CIBERSORT","6N_D_CD45",0.00266556900490384,"growing","LY","Myel","6N_D_CD45.Myel"
"612","Myeloid dendritic cell activated_CIBERSORT","6N_D_CD45",0.0200510476955536,"growing","LY","Myel","6N_D_CD45.Myel"
"613","Mast cell activated_CIBERSORT","6N_D_CD45",0,"growing","LY","Mast","6N_D_CD45.Mast"
"614","Mast cell resting_CIBERSORT","6N_D_CD45",0.0698708626252259,"growing","LY","Mast","6N_D_CD45.Mast"
"615","Eosinophil_CIBERSORT","6N_D_CD45",0,"growing","LY","Eosi","6N_D_CD45.Eosi"
"616","Neutrophil_CIBERSORT","6N_D_CD45",0,"growing","LY","Neut","6N_D_CD45.Neut"
"617","B cell naive_CIBERSORT","6R_D_CD45",0.0208374686903847,"stable","LY","B ce","6R_D_CD45.B ce"
"618","B cell memory_CIBERSORT","6R_D_CD45",0,"stable","LY","B ce","6R_D_CD45.B ce"
"619","B cell plasma_CIBERSORT","6R_D_CD45",0,"stable","LY","B ce","6R_D_CD45.B ce"
"620","T cell CD8+_CIBERSORT","6R_D_CD45",0.381178362112919,"stable","LY","T CD8","6R_D_CD45.T CD8"
"621","T cell CD4+ naive_CIBERSORT","6R_D_CD45",0,"stable","LY","T CD4","6R_D_CD45.T CD4"
"622","T cell CD4+ memory resting_CIBERSORT","6R_D_CD45",0,"stable","LY","T CD4","6R_D_CD45.T CD4"
"623","T cell CD4+ memory activated_CIBERSORT","6R_D_CD45",0.0325799222440643,"stable","LY","T CD4","6R_D_CD45.T CD4"
"624","T cell follicular helper_CIBERSORT","6R_D_CD45",0.192793563365725,"stable","LY","T ce","6R_D_CD45.T ce"
"625","T cell regulatory (Tregs)_CIBERSORT","6R_D_CD45",0.0707434878459362,"stable","LY","T ce","6R_D_CD45.T ce"
"626","T cell gamma delta_CIBERSORT","6R_D_CD45",0.0976062659559985,"stable","LY","T ce","6R_D_CD45.T ce"
"627","NK cell resting_CIBERSORT","6R_D_CD45",0,"stable","LY","NK c","6R_D_CD45.NK c"
"628","NK cell activated_CIBERSORT","6R_D_CD45",0.0473499763976452,"stable","LY","NK c","6R_D_CD45.NK c"
"629","Monocyte_CIBERSORT","6R_D_CD45",0,"stable","LY","Mono","6R_D_CD45.Mono"
"630","Macrophage M0_CIBERSORT","6R_D_CD45",0,"stable","LY","Macr","6R_D_CD45.Macr"
"631","Macrophage M1_CIBERSORT","6R_D_CD45",0.000405367561856779,"stable","LY","Macr","6R_D_CD45.Macr"
"632","Macrophage M2_CIBERSORT","6R_D_CD45",0.0389012927286376,"stable","LY","Macr","6R_D_CD45.Macr"
"633","Myeloid dendritic cell resting_CIBERSORT","6R_D_CD45",0,"stable","LY","Myel","6R_D_CD45.Myel"
"634","Myeloid dendritic cell activated_CIBERSORT","6R_D_CD45",0.0103082780388485,"stable","LY","Myel","6R_D_CD45.Myel"
"635","Mast cell activated_CIBERSORT","6R_D_CD45",0,"stable","LY","Mast","6R_D_CD45.Mast"
"636","Mast cell resting_CIBERSORT","6R_D_CD45",0.0894339818119556,"stable","LY","Mast","6R_D_CD45.Mast"
"637","Eosinophil_CIBERSORT","6R_D_CD45",0.017862033246028,"stable","LY","Eosi","6R_D_CD45.Eosi"
"638","Neutrophil_CIBERSORT","6R_D_CD45",0,"stable","LY","Neut","6R_D_CD45.Neut"
"639","B cell naive_CIBERSORT","7N_A_CD45",0,"growing","LY","B ce","7N_A_CD45.B ce"
"640","B cell memory_CIBERSORT","7N_A_CD45",0.048983570422245,"growing","LY","B ce","7N_A_CD45.B ce"
"641","B cell plasma_CIBERSORT","7N_A_CD45",0,"growing","LY","B ce","7N_A_CD45.B ce"
"642","T cell CD8+_CIBERSORT","7N_A_CD45",0.17127420136995,"growing","LY","T CD8","7N_A_CD45.T CD8"
"643","T cell CD4+ naive_CIBERSORT","7N_A_CD45",0,"growing","LY","T CD4","7N_A_CD45.T CD4"
"644","T cell CD4+ memory resting_CIBERSORT","7N_A_CD45",0.0669117906084634,"growing","LY","T CD4","7N_A_CD45.T CD4"
"645","T cell CD4+ memory activated_CIBERSORT","7N_A_CD45",0.00694762991250094,"growing","LY","T CD4","7N_A_CD45.T CD4"
"646","T cell follicular helper_CIBERSORT","7N_A_CD45",0.327037266968083,"growing","LY","T ce","7N_A_CD45.T ce"
"647","T cell regulatory (Tregs)_CIBERSORT","7N_A_CD45",0.135541573050006,"growing","LY","T ce","7N_A_CD45.T ce"
"648","T cell gamma delta_CIBERSORT","7N_A_CD45",0,"growing","LY","T ce","7N_A_CD45.T ce"
"649","NK cell resting_CIBERSORT","7N_A_CD45",0,"growing","LY","NK c","7N_A_CD45.NK c"
"650","NK cell activated_CIBERSORT","7N_A_CD45",0.0932591364367882,"growing","LY","NK c","7N_A_CD45.NK c"
"651","Monocyte_CIBERSORT","7N_A_CD45",0.0408289460759061,"growing","LY","Mono","7N_A_CD45.Mono"
"652","Macrophage M0_CIBERSORT","7N_A_CD45",0,"growing","LY","Macr","7N_A_CD45.Macr"
"653","Macrophage M1_CIBERSORT","7N_A_CD45",0,"growing","LY","Macr","7N_A_CD45.Macr"
"654","Macrophage M2_CIBERSORT","7N_A_CD45",0.025562116462218,"growing","LY","Macr","7N_A_CD45.Macr"
"655","Myeloid dendritic cell resting_CIBERSORT","7N_A_CD45",0.0504579336717581,"growing","LY","Myel","7N_A_CD45.Myel"
"656","Myeloid dendritic cell activated_CIBERSORT","7N_A_CD45",0.0221264775108172,"growing","LY","Myel","7N_A_CD45.Myel"
"657","Mast cell activated_CIBERSORT","7N_A_CD45",0,"growing","LY","Mast","7N_A_CD45.Mast"
"658","Mast cell resting_CIBERSORT","7N_A_CD45",0.0110693575112636,"growing","LY","Mast","7N_A_CD45.Mast"
"659","Eosinophil_CIBERSORT","7N_A_CD45",0,"growing","LY","Eosi","7N_A_CD45.Eosi"
"660","Neutrophil_CIBERSORT","7N_A_CD45",0,"growing","LY","Neut","7N_A_CD45.Neut"
"661","B cell naive_CIBERSORT","7N_B_CD45",0,"growing","LY","B ce","7N_B_CD45.B ce"
"662","B cell memory_CIBERSORT","7N_B_CD45",0.0139357389116517,"growing","LY","B ce","7N_B_CD45.B ce"
"663","B cell plasma_CIBERSORT","7N_B_CD45",0,"growing","LY","B ce","7N_B_CD45.B ce"
"664","T cell CD8+_CIBERSORT","7N_B_CD45",0.145342556305617,"growing","LY","T CD8","7N_B_CD45.T CD8"
"665","T cell CD4+ naive_CIBERSORT","7N_B_CD45",0,"growing","LY","T CD4","7N_B_CD45.T CD4"
"666","T cell CD4+ memory resting_CIBERSORT","7N_B_CD45",0.132073904620787,"growing","LY","T CD4","7N_B_CD45.T CD4"
"667","T cell CD4+ memory activated_CIBERSORT","7N_B_CD45",0,"growing","LY","T CD4","7N_B_CD45.T CD4"
