"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DPEP3",-0.126161160714286,-0.0481395973154362,-2.43055597130208,0.0154440029014467,0.0351357914949541,-4.49035903993313
"MEOX2",-0.140583035714286,0.028520581655481,-2.43031734322051,0.0154540479970086,0.0351553623591398,-4.49093106894923
"CDC16",0.140615178571429,0.0659008948545861,2.43026852915729,0.0154561035450438,0.0351567563880917,-4.49104807718141
"AA399046",0.155347321428571,0.0420541387024609,2.43012063342831,0.0154623328709958,0.0351676430278539,-4.49140257204483
"AA450361",0.157521875,0.078006711409396,2.43008468035108,0.0154638475392367,0.0351678055843321,-4.49148874566891
"AK124146",-0.150979017857143,-0.0993158836689038,-2.43003927646802,0.0154657605479239,0.0351688739298067,-4.49159756954629
"ANO10",0.141429464285714,-0.00274295302013423,2.42860502753535,0.0155262976162592,0.0353032397418124,-4.49503415181222
"RRP12",0.127562053571429,-0.094317225950783,2.42838355319071,0.0155356642708024,0.0353212415516806,-4.49556464675433
"LOC100506207",0.156307142857143,0.108025055928412,2.4282138878997,0.0155428431764029,0.0353342664915183,-4.49597101214391
"RPL13AP3",-0.148372321428572,0.067755033557047,-2.42810803960899,0.0155473233297775,0.0353411543750018,-4.49622451538804
"EMR2",-0.159280803571429,-0.118731096196868,-2.42711745980892,0.0155893060680847,0.0354332814352289,-4.49859639959446
"YY1AP1",0.15541875,0.0337561521252796,2.42703355818223,0.015592866577941,0.0354380687158427,-4.49879725366302
"BM975547",0.145709821428571,0.00859686800894855,2.42687844313103,0.015599451042157,0.0354497270349046,-4.49916856937999
"PPEF2",0.160403125,0.0145391498881432,2.4260048320227,0.0156365807304488,0.0355307906788116,-4.50125939466454
"AI991361",0.151703125,0.02265548098434,2.42556921390941,0.015655124233385,0.0355696100064453,-4.50230169101282
"NSUN5B",0.151182589285714,0.0878174496644295,2.42545331429728,0.0156600611451881,0.0355775097879866,-4.50257897137088
"NRIP2",0.142561607142857,0.103348545861298,2.42541351691382,0.0156617566892384,0.0355780448404364,-4.50267418038003
"PCDH20",-0.15045625,-0.0229174496644295,-2.4250685267136,0.0156764615841205,0.0356081297429015,-4.5034994515566
"ATP5G1",-0.125556696428571,-0.141443400447427,-2.42495259530369,0.0156814057899428,0.0356155142233015,-4.5037767521352
"RPS6",-0.142212946428571,0.086693288590604,-2.42488953823068,0.0156840956056634,0.0356155142233015,-4.50392757522386
"SLC39A2",-0.110720982142857,-0.121388143176734,-2.42488949839439,0.0156840973050824,0.0356155142233015,-4.50392767050513
"SMAD4",-0.135802678571429,0.0519829977628635,-2.42398404645434,0.0157227659546954,0.0356999963458832,-4.50609295420047
"LRRC57",-0.133840178571429,-0.0217371364653244,-2.42254629143662,0.0157843402477919,0.0358334198571502,-4.50952955832295
"BM264031",-0.165002678571428,-0.0530935123042506,-2.42254330160184,0.0157844685138973,0.0358334198571502,-4.50953670272417
"ZNF597",0.147834821428571,0.244143624161074,2.42235425842139,0.015792580472652,0.0358484956644234,-4.50998841601671
"AB045832",0.162076785714286,0.0781017897091723,2.42222724047911,0.0157980329561802,0.03585753232826,-4.51029190245447
"C4B",0.163443303571429,0.413638255033557,2.42193092203075,0.0158107594391527,0.0358830759069827,-4.51099984152521
"SPP2",0.151617410714286,0.0145324384787472,2.42066000081249,0.0158654464653255,0.0360038367914929,-4.51403526103856
"C16orf7",0.134539732142857,-0.200316554809843,2.42019011842283,0.0158857074528015,0.0360464586283514,-4.51515711654451
"TERT",-0.147902678571429,-0.0807505592841163,-2.42008148598158,0.0158903948519739,0.0360537375933798,-4.51541644887102
"SELPLG",-0.141021875,-0.0572107382550336,-2.4199807712557,0.0158947416982405,0.0360602425940531,-4.51565686952044
"BE383903",0.174860267857143,0.162756599552573,2.41984602364521,0.0159005590438428,0.0360700821802609,-4.51597851633166
"AI970209",0.155154017857143,-0.0160691275167785,2.41975232089621,0.0159046055011045,0.0360759030858154,-4.51620217745908
"C10orf113",0.163055357142857,0.0157536912751678,2.41953497274737,0.0159139949556872,0.0360938411280889,-4.51672093794675
"TCN1",0.168439732142857,0.274976957494407,2.41930056780968,0.0159241267446344,0.0361128891725259,-4.51728035814724
"AW450704",0.149366071428572,0.0338284116331096,2.41927210679933,0.0159253573148376,0.0361128891725259,-4.51734827830466
"AA610317",0.151414285714286,0.0996646532438479,2.41921229876969,0.0159279435111069,0.0361153928983581,-4.51749100333224
"KCNC3",0.170199553571429,0.102528187919463,2.41879913864734,0.0159458193466133,0.036152561019564,-4.51847686871631
"BX115874",0.152813392857143,-0.0120230425055928,2.41805800639564,0.0159779296088085,0.0362219916929432,-4.52024491580656
"CK822032",0.154729910714286,0.0469832214765101,2.41785204160905,0.0159868633505509,0.036238873128021,-4.52073617208691
"PTPN11",-0.140075892857143,-0.202810514541387,-2.41777916929571,0.0159900252488616,0.0362426690786216,-4.52090997348418
"OSBPL2",-0.149653571428571,-0.0932930648769575,-2.41771899020492,0.015992636809508,0.0362452170548819,-4.5210534975306
"CR610863",0.144359821428572,0.116970693512304,2.41729968238113,0.0160108437371298,0.0362831061272556,-4.52205342844539
"NHLRC4",0.160816517857143,0.128603355704698,2.41723465970494,0.01601366874856,0.036286133537745,-4.52220847403703
"SCN8A",-0.151028125,-0.0970586129753915,-2.41668907412474,0.0160373898880716,0.0363365055130198,-4.52350925431895
"CD276",-0.135337053571429,-0.122592393736018,-2.41626721302373,0.0160557529347206,0.0363747292221338,-4.52451485539763
"AL833054",-0.145598660714286,-0.136690604026846,-2.41605190127279,0.016065132310661,0.0363925949750104,-4.52502803349577
"PRKACA",0.146252232142857,-0.0823366890380313,2.41595264334615,0.016069457795437,0.0363990098121592,-4.52526459168903
"AK123145",0.153989732142857,0.0355413870246085,2.41554943138272,0.0160870396208059,0.036435447669839,-4.52622545616751
"ICA1L",0.151153125,0.0770114093959732,2.41485516274278,0.0161173525565422,0.0365007106968235,-4.52787954950901
"PRTN3",0.153184821428571,0.0261082774049217,2.41476541218583,0.0161212748906862,0.0365062007746716,-4.52809334612831
"MNX1",-0.136675892857143,-0.157361521252796,-2.41443458722933,0.0161357400768044,0.0365355616234501,-4.52888134399667
"ISL1",0.149418303571429,0.107097539149888,2.41373237158901,0.0161664821007337,0.036601768636131,-4.53055361484815
"ZFP36L1",-0.150633928571429,0.124432662192394,-2.41364177858306,0.0161704518949073,0.0366073552373748,-4.53076932034049
"TSHZ1",0.127098214285714,0.188888143176734,2.41289030464076,0.0162034147017663,0.0366785703160838,-4.53255830465851
"NPR3",-0.125485267857143,-0.0866774049217002,-2.41278973491681,0.0162078306041378,0.0366851584768372,-4.53279768310884
"MYH16",-0.155828125,-0.0290892617449664,-2.41265527804694,0.0162137361100412,0.0366951167019118,-4.53311770534129
"LOC283435",0.153871875,0.0120729306487696,2.41260360679191,0.01621600607764,0.0366968458488048,-4.53324068401859
"ZNF366",-0.13785,0.00994451901565995,-2.41199116884614,0.0162429324093676,0.0367543668819269,-4.53469810350106
"RAI14",0.129040625,0.00901946308724832,2.41122966718694,0.0162764674146367,0.0368268298941382,-4.53650974656309
"COG1",0.135684375,-0.0481008948545861,2.41074048585868,0.0162980421606611,0.0368722209053004,-4.53767323414214
"USP54",-0.13343125,-0.163569351230425,-2.41069751834426,0.0162999383942473,0.0368730875223745,-4.53777541871643
"AK023737",0.147487946428571,0.0481051454138702,2.4101834600009,0.0163226397974837,0.0369210142564823,-4.53899780525236
"GBGT1",-0.139214285714286,-0.0279143176733781,-2.4101295569353,0.0163250218319009,0.0369229749396475,-4.53912596737167
"AI458011",0.163273660714286,0.0372152125279642,2.40970149722458,0.0163439491310552,0.0369623528933228,-4.54014364023393
"NPEPPS",0.139702678571429,0.185766666666667,2.40948008853743,0.0163537466338601,0.036981078134178,-4.54066994994972
"ACAT1",-0.145988392857143,0.111901789709172,-2.40916783190961,0.0163675730251218,0.0370089096665275,-4.5414121337371
"LOC349196",0.155160267857143,0.0655595078299776,2.40872417329355,0.0163872354742159,0.037049930788244,-4.5424664774934
"ARFRP1",0.136281696428571,-0.0146539149888143,2.40847137933706,0.0163984483244687,0.0370718423574221,-4.54306715135015
"HIST1H2BI",-0.15815625,-0.085696196868009,-2.40810659750735,0.0164146403919495,0.0371050052941581,-4.54393381564498
"KREMEN1",-0.133424553571429,-0.134480313199105,-2.40741261928662,0.0164454838516931,0.0371712782207641,-4.54558224514779
"C20orf201",0.152443303571429,0.0312805369127517,2.40695605742064,0.0164658033203184,0.0372137539704618,-4.54666647884735
"NEUROG2",-0.153483482142857,-0.0636192393736018,-2.40636505787221,0.0164921388430027,0.0372698172425383,-4.54806967436183
"RAPGEFL1",-0.144244196428571,-0.14994451901566,-2.40602068092943,0.0165075017273351,0.0373010758616191,-4.54888716490174
"BX099811",0.1457125,0.0414170022371365,2.40501350696955,0.0165525048166656,0.0373991978318002,-4.55127736417792
"TRPC5",-0.148983928571429,-0.0828666666666667,-2.4049801999443,0.0165539949037179,0.0373991978318002,-4.55135639086879
"MIS18BP1",-0.151506696428571,-0.0716568232662192,-2.40467794805079,0.0165675224282064,0.037426289657044,-4.55207348705344
"NFKBID",0.146708035714286,-0.0252870246085011,2.40454928077279,0.0165732839895374,0.0374358346548987,-4.55237872499778
"AK027195",-0.151845982142857,-0.0416181208053691,-2.40410106063082,0.0165933685197819,0.0374777276939517,-4.55344191511557
"UTS2R",-0.156998660714286,-0.0732120805369127,-2.40405128159315,0.0165956004170402,0.0374792948065279,-4.553559980385
"DDA1",-0.125096875,-0.242259731543624,-2.40394106092456,0.0166005432216192,0.0374869833402296,-4.55382139183308
"WNK3",-0.133662946428571,-0.133944071588367,-2.40335751666714,0.0166267336601237,0.0375426469449493,-4.55520519461334
"C13orf23",-0.136504464285714,-0.201855704697987,-2.40322403739253,0.0166327295450737,0.0375527057865613,-4.5555216780709
