"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat"
"12L_D_DN","DN_12L_D","20190213_52_CGDA6432-3of3_S4_R1_001.fastq.gz","12L","DN","2","D","Progression","20190213_52_CGDA6432-3of3_S4_R1_001_report.tsv","PDL1","12L_D_DN","12L_D","stable","Infiltrating",0.0223692560965648,6,127,"32-36",0.000835422,0.224775093,0.77027027,0.677104279711371,0.83623595505618,0.836501527,0.336235955,"P30T2",12.7475805953277,"imm","inf","low","small"
"14N_C_DN","DN_14N_C","20190213_55_CGDA6432-3of3_S6_R1_001.fastq.gz","14N","DN","2","C","Progression","20190213_55_CGDA6432-3of3_S6_R1_001_report.tsv","PDL1+LY","14N_C_DN","14N_C","stable","restricted",0.0541297977067744,6,79,"32-36",0.188110749,1.136484051,0.55952381,0.264129276925775,0.393517301795883,0.349403564,0.107577749,"P31T2",45.494853238138,"imm","res","high","small"
"14N_D_DN","DN_14N_D","20190213_54_CGDA6432-3of3_S5_R1_001.fastq.gz","14N","DN","2","D","Progression","20190213_54_CGDA6432-3of3_S5_R1_001_report.tsv","PDL1+LY","14N_D_DN","14N_D","stable",NA,NA,5,79,"32-36",NA,NA,0.762162162,NA,NA,NA,NA,"P31T3",NA,"imm",NA,NA,"small"
"14R_B_DN","DN_14R_B","20190213_56_CGDA6432-3of3_S7_R1_001.fastq.gz","14R","DN","2","B","Progression","20190213_56_CGDA6432-3of3_S7_R1_001_report.tsv","PDL1+LY","14R_B_DN","14R_B","growing",NA,NA,35,98,"32-36",NA,NA,4.329896907,NA,NA,NA,NA,"P32T1",NA,"imm",NA,NA,"big"
"15L_B_DN","DN_15LB","20191030_DN_15LB_CGDA7428_S12_R1_001.fastq.gz","15L","DN","3","B","Progression","","PDL1+LY","15L_B_DN","15L_B","growing","restricted",0.0129612204366809,10,79,"32-36",0.3625171,0.865393075,3.5,0.296396958640746,0.222677165354331,0.477286756,0.11511811,"P33T1",32.6957878212506,"imm","res","low","small"
"15N_C_DN","DN_15N_C","20190213_57_CGDA6432-3of3_S8_R1_001.fastq.gz","15N","DN","2","C","Progression","20190213_57_CGDA6432-3of3_S8_R1_001_report.tsv","PDL1+LY","15N_C_DN","15N_C","growing",NA,NA,30,112,"32-36",NA,NA,5.714285714,NA,NA,NA,NA,"P34T1",NA,"imm",NA,NA,"big"
"16L_C_DN","DN_16L_C","20190213_58_CGDA6432-3of3_S9_R1_001.fastq.gz","16L","DN","2","C","Progression","20190213_58_CGDA6432-3of3_S9_R1_001_report.tsv","PDL1+LY","16L_C_DN","16L_C","stable","Infiltrating",0.0476926119861338,7,163,"32-36",1.447638604,1.17388968,0.647540984,0.057419978255721,0.241148993757367,0.058444028,0.021259877,"P36T2",71.6454218187546,"imm","res","high","small"
"16L_D_DN","DN_16LD","20191030_DN_16LD_CGDA7428_S13_R1_001.fastq.gz","16L","DN","3","D","Progression","","PDL1+LY","16L_D_DN","16L_D","stable","Infiltrating",0.0316167665758732,24,163,"32-36",2.422292994,0.894605774,1.915178571,0.454715384675172,0.300162358654578,0.692639105,0.022557795,"P36T3",38.8586183513779,"imm","inf","low","big"
"16R_D_DN","DN_16RD","20191030_DN_16RD_CGDA7428_S14_R1_001.fastq.gz","16R","DN","3","D","Progression","","PDL1","16R_D_DN","16R_D","stable","Infiltrating",0.0306485937592836,3,183,"32-36",0.933495539,0.727560446,-0.102739726,0.300680166658347,0.235493677578535,0.564363217,0.05432436,"P38T2",56.3160400554865,"imm","res","low","small"
"17N_D_DN","DN_17N_D","20190213_59_CGDA6432-3of3_S10_R1_001.fastq.gz","17N","DN","2","D","Progression","20190213_59_CGDA6432-3of3_S10_R1_001_report.tsv","Vehicle","17N_D_DN","17N_D","stable","Infiltrating",0.111526720118085,4,169,"32-36",0.002915452,0.730021351,-0.384615385,0.767514188959579,0.666416002406377,0.892719315,0.154760114,"P39T3",15.0638795777243,"control","inf","high","small"
"17N_A_DN","DN_17NA","20191030_DN_17NA_CGDA7428_S15_R1_001.fastq.gz","17N","DN","3","A","Progression","","Vehicle","17N_A_DN","17N_A","growing","restricted",0.0472687015058753,28,169,"32-36",0.42325455,0.854231072,6.8,0.254948603683486,0.0907524861013233,0.442566925,0.032025683,"P39T1",61.8664174149397,"control","res","high","big"
"2N__DN","DN_2N","20190213_60_CGDA6432-3of3_S11_R1_001.fastq.gz","2N","DN","2","","Progression","20190213_60_CGDA6432-3of3_S11_R1_001_report.tsv","Vehicle","2N__DN","2N_","growing","restricted",0.0301040967138085,47,77,"32-36",0.777085651,0.831594727,11.7,0.349187824159711,0.28264080077306,0.47793853,0.081955257,"P4T1",47.7725991706215,"control","res","low","big"
"2R_A_DN","DN_2RA","20191030_DN_2RA_CGDA7428_S16_R1_001.fastq.gz","2R","DN","3","A","Progression","","Vehicle","2R_A_DN","2R_A","growing","restricted",0.0858191749091156,20,84,"32-36",0.057654723,0.575054755,3.542857143,0.564459690484411,0.437104298567144,0.659399331,0.127874042,"P5T1",44.8085737802091,"control","inf","high","big"
"2R_C_DN","DN_2RC","20191030_DN_2RC_CGDA7428_S17_R1_001.fastq.gz","2R","DN","3","C","Progression","","Vehicle","2R_C_DN","2R_C","growing",NA,NA,15,84,"32-36",NA,NA,15,NA,NA,NA,NA,"P5T2",NA,"control",NA,NA,"small"
"3L_D_DN","DN_3L_D","20190213_61_CGDA6432-3of3_S12_R1_001.fastq.gz","3L","DN","2","D","Progression","20190213_61_CGDA6432-3of3_S12_R1_001_report.tsv","Vehicle","3L_D_DN","3L_D","growing","restricted",NA,30,84,"32-36",NA,NA,5.8,NA,NA,NA,NA,"P6T2",NA,"control",NA,NA,"big"
"3L_A_DN","DN_3LA","20191030_DN_3LA_CGDA7428_S19_R1_001.fastq.gz","3L","DN","3","A","Progression","","Vehicle","3L_A_DN","3L_A","growing","restricted",0.0531246414587471,12,84,"32-36",14.38513514,1.106811727,3,0.333298180342511,0.286523959526537,0.401915731,0.003531882,"P6T1",46.0960082025034,"control","res","high","small"
"3N_B_DN","DN_3N_B","20190213_62_CGDA6432-3of3_S13_R1_001.fastq.gz","3N","DN","2","B","Progression","20190213_62_CGDA6432-3of3_S13_R1_001_report.tsv","Vehicle","3N_B_DN","3N_B","stable","Infiltrating",0.276829917860447,6,127,"32-36",13.08280255,1.147356351,0.024590164,0.637179407827275,0.437791145137117,0.647527182,0.003179811,"P7T1",32.3115937542865,"control","inf","high","small"
"3R_C_DN","DN_3R_C","20190213_63_CGDA6432-3of3_S14_R1_001.fastq.gz","3R","DN","2","C","Progression","20190213_63_CGDA6432-3of3_S14_R1_001_report.tsv","Vehicle","3R_C_DN","3R_C","growing","Infiltrating",0.0232139311385568,32,84,"32-36",1.791469194,0.9042302,5.542857143,0.381122239757883,0.296210760413994,0.599163477,0.036096142,"P8T2",32.119384471498,"control","inf","low","big"
"3R_B_DN","DN_3RB","20191030_DN_3RB_CGDA7428_S20_R1_001.fastq.gz","3R","DN","3","B","Progression","","Vehicle","3R_B_DN","3R_B","growing","restricted",0.0266553579642389,35,84,"32-36",1.135736196,0.882498485,7.685714286,0.354301516222591,0.291075097009815,0.561461968,0.059529788,"P8T1",42.6316241357437,"control","inf","low","big"
"4N_C_DN","DN_4NC","20191030_DN_4NC_CGDA7428_S21_R1_001.fastq.gz","4N","DN","3","C","Progression","","Vehicle","4N_C_DN","4N_C","growing","restricted",0.00813878305467377,15,96,"32-36",1.685483871,0.716094634,3,0.0848611813825092,0.685143626570916,0.107057914,0.027827648,"P10T1",15.3310577263542,"control","res","low","small"
