""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"10R_BU_Ep"	"0.0931742675928722"	"0.339927514346119"	"-0.506493506493507"	"0.474781032920568"	"-0.710661431591664"	"LumB"	"1"	"75.5587257919235"	"high"	"1.77651535464139"	"123.110621377425"	"high"	"1.50748996725275"	"0.293917787352861"
"11L_B_Ep"	"-0.445031712473573"	"-0.0258230141951072"	"0.280730897009967"	"0.1723044397463"	"-0.236937481123528"	"LumA"	"0.93"	"29.8372915300158"	"med"	"-0.109147246339846"	"34.5258669203199"	"med"	"2.16904307889531"	"1.220984093638"
"11N_D_Ep"	"0.0911819887429643"	"0.29155722326454"	"-0.325515947467167"	"0.285365853658537"	"-0.510881801125703"	"Her2"	"0.93"	"64.1699320666593"	"high"	"0.905929426100807"	"84.9202968124417"	"high"	"1.22473945350578"	"0.758882954147935"
"11R_D_Ep"	"-0.604047115675023"	"0.124584717607973"	"0.398973119903352"	"0.208396254907883"	"-0.247810329205678"	"LumA"	"0.99"	"26.9576332417787"	"med"	"-0.439569064708608"	"21.4951714253506"	"med"	"2.21831624622357"	"0.996590842144844"
"11R_C_Ep"	"-0.114466928420417"	"0.0903050437934159"	"0.00755058894593778"	"0.0711265478707339"	"-0.263062518876472"	"Her2"	"0.44"	"42.8103435736493"	"med"	"0.627412692591262"	"67.2395570738203"	"high"	"0.91603717527758"	"0.901104644813433"
"12L_D_Ep"	"-0.328538528568803"	"-0.214218295920408"	"0.438932306727293"	"-0.00498357685257205"	"0.188469815515452"	"LumA"	"1"	"18.1285695486657"	"low"	"-1.01204081522232"	"-5.77914656951032"	"low"	"0.62623550981992"	"0.250765444702105"
"14N_C_Ep"	"-0.53035336756267"	"-0.319087888855331"	"0.624131682271217"	"-0.165206886137119"	"0.185442464512232"	"LumA"	"1"	"5.2344692335708"	"low"	"-1.12764468022178"	"-14.2184671268829"	"low"	"1.82233217924792"	"0.705654783266685"
"14N_D_Ep"	"-0.0777710661431592"	"-0.262458471760797"	"0.174267592872244"	"-0.171247357293869"	"0.259589247961341"	"Normal"	"0.91"	"26.8542491241317"	"med"	"-0.025490739125437"	"35.0871992599784"	"med"	"0.310159147241402"	"0.180285210861326"
"14R_B_Ep"	"-0.51588430535799"	"-0.20886676149834"	"0.68515884305358"	"-0.0429113323850166"	"0.172356567093409"	"LumA"	"1"	"6.43791932083787"	"low"	"-1.0521419177382"	"-10.2885889360014"	"low"	"2.01444160612411"	"0.38162889640716"
"15N_C_Ep"	"0.508953893525646"	"0.148205169759339"	"-0.559354995543311"	"0.115468762661049"	"-0.231018556032736"	"Basal"	"1"	"70.9892188823482"	"high"	"1.55224346274573"	"111.077696775963"	"high"	"-3.06372520995851"	"-0.432113371558495"
"16L_C_Ep"	"-0.00377529447296889"	"0.258381153729991"	"-0.353518574448807"	"0.332678948958019"	"-0.578375113258834"	"LumB"	"0.97"	"65.1649558233695"	"high"	"1.3909043501587"	"104.562711955377"	"high"	"1.59393743872783"	"0.565247379793412"
"17N_D_Ep"	"-0.250764526172603"	"0.250537999952031"	"-0.073394495465152"	"0.300977838399276"	"-0.549401593625973"	"LumB"	"0.95"	"51.6842989120347"	"med"	"0.389729401761593"	"61.334356469424"	"high"	"1.03671054591942"	"1.34323133836015"
"2N__Ep"	"-0.0194805194805195"	"0.238145575354878"	"-0.210812443370583"	"0.213228631833283"	"-0.343853820598007"	"Her2"	"0.88"	"56.8772976141916"	"high"	"0.656158334950871"	"72.8474588220818"	"high"	"0.895724502943805"	"0.783220624415549"
"3N_B_Ep"	"-0.341450523141376"	"-0.130328085568778"	"0.358893042125378"	"-0.109110129575252"	"0.199418582843072"	"LumA"	"0.98"	"20.8717934200884"	"low"	"-1.05137250084462"	"-6.36942117321201"	"low"	"2.10973875025925"	"-0.139905098889441"
"3R_C_Ep"	"-0.606916339474479"	"-0.0428873452129266"	"0.537450921171851"	"0.180157052250076"	"-0.127000906070674"	"LumA"	"1"	"18.2745054739105"	"low"	"-1.03454777491692"	"-5.27756599035442"	"low"	"3.8133409517604"	"1.28071792444769"
"6R_B_Ep"	"-0.447598912715192"	"-0.299003322259136"	"0.629719118091211"	"-0.171398369072788"	"0.330866807610994"	"LumA"	"1"	"5.60379574910725"	"low"	"-1.2361497324535"	"-18.4836364592167"	"low"	"0.794480803293017"	"0.278796229745497"
"7N_A_Ep"	"-0.263817577771066"	"0.133947447900936"	"0.0676532769556025"	"0.162790697674419"	"-0.284959226819692"	"LumB"	"0.7"	"41.7519772915593"	"med"	"0.199575902550675"	"50.4321671139227"	"med"	"2.5796311207307"	"0.796259975355506"
"8L_D_Ep"	"-0.422408963585434"	"-0.251260504201681"	"0.5296918767507"	"-0.0336134453781513"	"0.115406162464986"	"LumA"	"1"	"12.8792703110891"	"low"	"-1.60784098500901"	"-30.9804475087492"	"low"	"1.10469012465609"	"0.194621474443807"
"8R_CU_Ep"	"0.489731199033525"	"0.32407127755965"	"-0.689972817879795"	"0.263515554213229"	"-0.512080942313501"	"Basal"	"1"	"81.3635762948816"	"high"	"1.86947361939261"	"127.46749459212"	"high"	"0.339894398654533"	"0.562509548908234"
"NMU12_RL_Ep"	"0.259589247961341"	"0.350045303533676"	"-0.524765931742676"	"0.270311084264573"	"-0.418755662941709"	"Her2"	"0.98"	"73.8698163156679"	"high"	"1.51462946604418"	"111.762686302839"	"high"	"1.11797214947977"	"-0.519497819756433"
"NMU10_LL_Ep"	"0.205980066445183"	"0.310480217456962"	"-0.484596798550287"	"0.333131984294775"	"-0.388855330715796"	"LumB"	"0.97"	"72.4092855058895"	"high"	"0.673799066710643"	"77.8753863255708"	"high"	"-0.263708084644554"	"-1.53515853446484"
"NMU12_LA_Ep"	"0.138628813047418"	"0.446692842041679"	"-0.533222591362126"	"0.41014799154334"	"-0.621715493808517"	"Her2"	"1"	"77.3770501709098"	"high"	"1.46192350623261"	"111.370586179362"	"high"	"-0.671095901662174"	"0.287563466654324"
"NMU13_LAU_Ep"	"0.0260289210233593"	"0.311234705228031"	"-0.213793103448276"	"0.301446051167964"	"-0.246718576195773"	"Her2"	"0.91"	"59.7733982670942"	"high"	"0.672526930366018"	"74.6351707433625"	"high"	NA	"-0.408171153219511"
"NMU13_LLU_Ep"	"0.437747035573123"	"-0.0286561264822134"	"-0.337944664031621"	"-0.0820158102766798"	"-0.0691699604743083"	"Basal"	"0.96"	"55.5620014764008"	"high"	"0.962925082301953"	"82.5504307672335"	"high"	NA	"-0.246318862230151"
"NMU14__Ep"	"-0.130971659919028"	"-0.211538461538462"	"0.0896761133603239"	"0.081578947368421"	"-0.160931174089069"	"LumA"	"0.41"	"35.0718395915694"	"med"	"0.255829640211768"	"49.1260730676194"	"med"	"0.323246910395628"	"-0.403076108420148"
"NMU7_RLU_Ep"	"0.37014157014157"	"0.180694980694981"	"-0.408494208494209"	"0.10990990990991"	"-0.219305019305019"	"Basal"	"0.97"	"64.4315103817094"	"high"	"0.124369010181498"	"52.7715082287754"	"med"	NA	"-0.817126888807409"
