""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"D3R_CD45_Lina"	"-0.137282229965157"	"-0.186062717770035"	"0.359756097560976"	"-0.231881533101045"	"0.495644599303136"	"Normal"	"1"	"18.9769143254765"	"low"	"-1.25039522121972"	"-15.4941934742475"	"low"	"-0.910251730064023"	"-0.440594305305998"
"D3R_CD45_"	"0.347321005215742"	"0.212185870080607"	"-0.502133712660028"	"0.152678994784258"	"-0.320293978188715"	"Basal"	"0.96"	"69.3772110297604"	"high"	"0.801166761693843"	"81.280410599761"	"high"	NA	NA
"D3R_Ep_"	"0.110993657505285"	"-0.146783449109031"	"0.00573844759891272"	"-0.0353367562669888"	"0.0617638175777711"	"Basal"	"0.52"	"38.7446068504273"	"med"	"0.490766911735023"	"59.244186887592"	"high"	"0.589506780064161"	"0.226030826582862"
"D4R_CD45_Lina"	"-0.0484747810329206"	"-0.222591362126246"	"0.295681063122924"	"-0.227725762609484"	"0.504681365146481"	"Normal"	"1"	"21.6066591278626"	"low"	"-1.24267197681613"	"-14.7524478640521"	"low"	"-0.371981577791179"	"-1.42707516724077"
"D4R_CD45_"	"0.146689895470383"	"0.237282229965157"	"-0.27595818815331"	"0.301219512195122"	"-0.210975609756098"	"LumB"	"0.94"	"61.8595710172167"	"high"	"0.806007652946141"	"80.030085913825"	"high"	NA	"-1.65687240953878"
"D4R_Ep_"	"0.198580489278164"	"-0.403201449713078"	"0.21972213832679"	"-0.420567804288735"	"0.469193597100574"	"Normal"	"1"	"20.1055207996518"	"low"	"-0.136674486738019"	"27.5264747086555"	"med"	"-0.313484076745838"	"-0.204303683937391"
"D7N_CD45_Lina"	"0.026578073089701"	"0.170794321957113"	"-0.106161280579885"	"-0.103896103896104"	"0.173059498640894"	"Normal"	"0.73"	"46.4766218709471"	"med"	"-0.19519054421362"	"35.3763620944068"	"med"	"-0.328140597733767"	"-0.922597382442605"
"D7R_CD45_Lina"	"-0.149048625792812"	"0.310480217456962"	"-0.0137420718816068"	"0.00241618846270009"	"0.032165508909695"	"Her2"	"0.96"	"45.6020773208734"	"med"	"-0.355976690308988"	"29.7126318091126"	"med"	"-0.788617749003867"	"-0.105445480344673"
"D8N_CD45_Lina"	"0.0226480836236934"	"0.141114982578397"	"-0.187456445993031"	"0.330836236933798"	"-0.128919860627178"	"LumB"	"0.96"	"56.6612078136913"	"high"	"-0.635963886331358"	"21.0152874297405"	"med"	"0.312014909453632"	"-0.764427010583006"
"D8R_CD45_Lina"	"-0.296285110238599"	"-0.0424343098761703"	"0.412564180006041"	"-0.110691633947448"	"0.331621866505587"	"LumA"	"0.99"	"20.1333349912058"	"low"	"-1.12925620760587"	"-9.37020190833004"	"low"	"-1.0083902660484"	"-0.742004867913705"
