""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"9L_CD45_B"	"0.0166979362101313"	"0.267354596622889"	"-0.200562851782364"	"0.354784240150094"	"-0.243151969981238"	"LumB"	"0.97"	"59.4270448491336"	"high"	"0.176383938771289"	"54.6815279797072"	"high"	NA	"-1.63985492376071"
"sample_CD45_36"	"0.259379304756503"	"0.308159792561381"	"-0.638440969127299"	"0.411554979337169"	"-0.50733327931286"	"LumB"	"0.99"	"80.328493017822"	"high"	"0.93847474008179"	"90.5687899415499"	"high"	NA	"-2.04167546606971"
"D11N_CD45_"	"0.00769230769230769"	"0.391369606003752"	"-0.445403377110694"	"0.334709193245779"	"-0.347279549718574"	"Her2"	"0.99"	"71.0152012508553"	"high"	"0.479841297092945"	"70.4019607965171"	"high"	"-2.18890449686137"	"-2.01127326334815"
"D11N_Ep_"	"0.026578073089701"	"0.260797342192691"	"-0.335548172757475"	"0.275747508305648"	"-0.548172757475083"	"LumB"	"0.93"	"63.6538218760993"	"high"	"1.73799984757497"	"117.870419908136"	"high"	"1.86351770107903"	"1.51340598121526"
"D14R_CD45_"	"-0.0215686274509804"	"0.348739495798319"	"-0.331932773109244"	"0.435854341736695"	"-0.395798319327731"	"LumB"	"0.99"	"67.2325460807382"	"high"	"0.38522694761624"	"65.6069626041778"	"high"	NA	NA
"D14R_Ep_"	"-0.349303135888502"	"-0.0418118466898955"	"0.256794425087108"	"0.0947735191637631"	"-0.201393728222997"	"LumA"	"0.89"	"29.7727622367288"	"med"	"-0.314265079503964"	"26.034199217228"	"med"	"2.12058378119327"	"1.13763962621419"
"D17N_CD45_"	"-0.196301564722617"	"0.546941678520626"	"-0.402560455192034"	"0.723328591749644"	"-0.634186818397345"	"LumB"	"1"	"77.0088682043344"	"high"	"0.452115041818247"	"72.3637839380099"	"high"	NA	NA
"D17N_Ep_"	"-0.387449392712551"	"0.040080971659919"	"0.396761133603239"	"-0.015587044534413"	"-0.017004048582996"	"LumA"	"0.99"	"23.1374189023577"	"low"	"-0.178783536620368"	"29.8933566748354"	"med"	"-0.00818655916774721"	"0.860978135780787"
"D18N_CD45_"	"0.0529411764705882"	"0.379831932773109"	"-0.382072829131653"	"0.50140056022409"	"-0.436694677871149"	"LumB"	"1"	"71.2321556035591"	"high"	"1.01998898249506"	"92.0732001094192"	"high"	NA	"-1.00836927889018"
"D18N_Ep_"	"0.184234370280882"	"-0.0712775596496527"	"-0.0836605255209906"	"-0.0922681969193597"	"0.0607067351253398"	"Basal"	"0.76"	"42.9687539938174"	"med"	"0.532883829893271"	"62.1986587583824"	"high"	"-2.93384774998233"	"-0.030524058620133"
